0,1,2,3,4,5,6,7
TIME,CREW,,ACTIVITY,,,,
06:00-06:10,FE-4,"Morning Inspection.  Reboot Laptop RS2(1) Reboot Laptop RSS1, RSS2",,,,,
06:00-06:05,"CDR, FE-6",Reaction Self Test,,,,,
06:05-06:10,CDR,Morning Inspection,,,,,
06:05-06:10,FE-6,ENERGY Experiment Crew Reminder,,,,,
06:10-06:40,,Post-sleep,,,,,
06:40-07:30,"CDR, FE-6",BREAKFAST,,,,,
06:40-07:30,FE-4,BREAKFAST.  SM ПСС (Caution & Warning Panel) Test (after breakfast),,,,,
07:30-07:35,FE-6,ENERGY Diet Log of Breakfast,,,,,
TIME,CREW,,ACTIVITY,,,,
06:00-06:10,CDR,Morning Inspection,,,,,
06:00-06:05,FE-6,Reaction Self Test,,,,,
,,Morning Inspection.,,,,,
06:00-06:10,FE-4,"Reload Laptop RS2(1) and RSS1,2",,,,,
,,SM ПСС (Caution & Warning Panel) Test,,,,,
06:05-06:10,FE-6,Morning Inspection,,,,,
06:10-06:20,FE-4,Post-sleep,,,,,
06:10-06:20,FE-6,,,,,,
,,Hematocrit  Test,,,,,
06:20-06:30,FE-4,,,,,,
06:10-06:40,CDR,Post-sleep,,,,,
06:20-06:40,FE-6,Post-sleep,,,,,
06:30-06:35,FE-4,Hematocrit  Hardware Stowage,,,,,
06:35-07:00,FE-4,Post-sleep,,,,,
06:40-07:30,CDR,BREAKFAST,,,,,
06:40-07:00,FE-6,BREAKFAST,,,,,
07:00-07:50,FE-4,BREAKFAST,,,,,
07:00-07:15,FE-6,Crew Discretionary Conference,,,,,
07:15-07:30,FE-6,BREAKFAST,,,,,
07:30-07:50,"CDR, FE-6",Work Prep,,,,,
07:50-08:05,,Daily Planning Conference (S-band),,,,,
08:05-09:05,CDR,Physical Exercise (CEVIS),,,,,
08:05-08:20,FE-6,ISS Crew/SSIPC FD Conference,,,,,
08:05-08:25,FE-4,Work Prep,,,,,
08:20-09:20,FE-6,Physical Exercise T2,,,,,
08:25-08:40,FE-4,БМП Ф2 Absorption Cartridge Regeneration (start),,,,,
08:40-10:10,FE-4,ALBEDO. ФСС Hardware Checkout. Tagup with specialists (S-band),,,,,
09:05-09:30,CDR,Potable Water Dispenser (PWD) Beverage Adapter (BA) Cleaning,,,,,
09:20-10:35,FE-6,ICV Monitoring Start,,,,,
09:35-09:45,CDR,ICV Start Operator Assistance,,,,,
10:00-10:10,CDR,ICV Start Operator Assistance,,,,,
10:10-11:30,FE-4,"Cleaning Ventilation Screens on FGB Interior Panels (pnls 116, 316, 231, 431)",,,,,
10:10-13:40,CDR,In Flight Maintenance (IFM) ACTEX Filter Remove and Replace (R&R),,,,,
10:35-10:45,FE-6,ICV. 10-minute Resting Event,,,,,
10:45-11:25,FE-6,Microbe-III Air Sampling Device and Particle Counter Start,,,,,
11:25-11:35,FE-6,MICB-AFL. MELFI Insertion,,,,,
11:30-13:00,FE-4,"Physical Exercise (TVIS), Day 4",,,,,
,,IFM Waste and Hygiene Compartment (WHC) Pre-Treat Tank Remove &,,,,,
11:50-12:35,FE-6,,,,,,
,,Replace,,,,,
13:00-14:00,"FE-4, FE-6",LUNCH,,,,,
13:40-14:40,CDR,LUNCH,,,,,
14:00-14:40,FE-4,СОЖ Maintenance,,,,,
14:00-14:05,FE-6,ICV-3H. Battery Replacement,,,,,
TIME,CREW,,ACTIVITY,,,,
,"CDR,FE-3,FE-",,,,,,
06:00-06:10,"6,",Morning Inspection.,,,,,
,"FE-2,FE-1",,,,,,
,,Morning Inspection.,,,,,
06:00-06:10,FE-4,Reboot Laptop RS2(1),,,,,
,,"Reload Laptop RSS1, RSS2",,,,,
06:10-06:40,,Post-sleep,,,,,
06:40-07:30,FE-4,BREAKFAST.  SM ПСС (Caution & Warning Panel) Test (after breakfast),,,,,
,"FE-1, FE-2,",,,,,,
06:40-07:30,"CDR, FE-3,",BREAKFAST,,,,,
,FE-6,,,,,,
07:30-08:40,"FE-3, FE-6",Dragon Vestibule Configuration for Demate,,,,,
07:30-07:35,CDR,Install camera to transmit image to LAB RWS Monitor 3,,,,,
08:05-08:15,CDR,USOS Window Shutter Close,,,,,
08:25-10:10,CDR,Dragon/Node 2 Vestibule Depress,,,,,
08:40-10:10,FE-3,Physical Exercise (ARED),,,,,
08:40-08:45,FE-6,CUCU Power B ON,,,,,
08:45-09:05,FE-6,Crew Command Panel (CCP) Cable Route and Checkout,,,,,
09:05-10:00,FE-6,Physical Exercise Т2,,,,,
10:10-10:55,CDR,Node 2 - Remove CBM Bolts and Deploy Latches,,,,,
10:15-10:30,FE-2,Private Family Conference,,,,,
10:40-10:50,FE-3,MELFI-CBT – Review,,,,,
10:55-11:45,"CDR,FE-6",Compensation for working overtime,,,,,
11:05-11:20,FE-3,Private Medical Conference,,,,,
11:30-13:00,FE-4,"Physical Exercise (TVIS), Day 1",,,,,
11:35-12:35,FE-3,Crew time for ISS adaptation and orientation,,,,,
12:10-12:15,FE-6,SSRMS Checkout,,,,,
12:10-12:15,CDR,Install camera to transmit image to LAB RWS Monitor 3,,,,,
12:15-12:35,FE-6,Configure RWS to Monitor Dragon Departure,,,,,
12:15-12:30,CDR,NANORACK - Module 9 Activation,,,,,
12:30-12:35,CDR,SSRMS - Dragon Release Preparation,,,,,
12:55-13:50,"CDR,FE-6",SSRMS Dragon Release,,,,,
13:00-14:00,"FE-1, FE-2, FE-3, FE-4",LUNCH,,,,,
13:50-14:50,"FE-6, CDR",LUNCH,,,,,
14:00-14:40,FE-4,СОЖ Maintenance.,,,,,
,"FE-2,FE-1",,,,,,
,Handover,,,,,,
14:00-15:30,FE-3,Elite-S2 – test camera installation,,,,,
TIME,CREW,,ACTIVITY,,,,
,,Morning Inspection.,,,,,
06:00-06:10,FE-4,SM ПСС (Caution & Warning Panel) Test  Reboot Laptop RS2(1),,,,,
,,"Reload Laptop RSS1, RSS2",,,,,
06:00-06:10,"FE-6, CDR",Morning Inspection,,,,,
06:10-06:40,,Post-sleep,,,,,
06:40-07:30,,BREAKFAST,,,,,
07:30-07:45,,Work Prep,,,,,
07:45-07:55,FE-6,Closing USOS Window Shutters,,,,,
07:55-08:10,,Daily Planning Conference (S-band),,,,,
08:10-09:40,CDR,Physical Exercise (ARED),,,,,
08:10-08:20,FE-4,ALBEDO. Battery Charge (terminate),,,,,
08:15-08:30,FE-6,ISS Crew/SSIPC FD Conference,,,,,
08:20-08:30,FE-4,RELAKSATSIYA. Start SONY DCR-TRV900E Battery Charge,,,,,
08:30-08:40,FE-6,Terminate EMU Metox Regeneration,,,,,
08:30-09:10,FE-4,Cleaning ВД1 and ВД2 Air Ducts in DC-1,,,,,
08:40-08:45,FE-6,Microbe-III MDS Sampling Familiarization,,,,,
08:45-08:55,FE-6,Return Microbe-III Ziploc 1 to MELFI,,,,,
08:55-09:15,FE-6,Prepare Microbe-III Microbial Detection Sheet,,,,,
09:10-10:10,FE-4,В3 fan screen cleaning in DC1,,,,,
09:15-09:40,FE-6,Photography of Microbe-III MDS Location,,,,,
09:40-10:05,CDR,Environmental Health System (EHS) - CSA-CP Calibration,,,,,
09:40-10:20,FE-6,Taking Microbe-III MDS Samples,,,,,
10:05-10:40,CDR,WRS - CWC-I Degassing,,,,,
,,"Replacement of ПФ1, ПФ2 Dust Filters and Cleaning В1, В2 Fan Grills in",,,,,
10:10-11:00,FE-4,"DC1 (ФГБ1ПГО_2_219_1, bag II-1/259-2 or 008135R). Reflect changes",,,,,
,,in IMS,,,,,
10:20-11:20,FE-6,Physical Exercise T 2,,,,,
10:40-10:55,CDR,Start Transfer Water from CWC I,,,,,
11:00-12:30,FE-4,"Physical Exercise (TVIS), Day 2",,,,,
11:05-11:20,CDR,Activation of  Module 9 NanoRacks,,,,,
11:20-13:20,"FE-6, CDR",EVA Procedure Review,,,,,
12:30-13:10,FE-4,СОЖ Maintenance,,,,,
13:10-14:10,FE-4,LUNCH,,,,,
13:20-13:35,FE-6,Private Psychological Conference,,,,,
13:25-14:25,CDR,LUNCH,,,,,
13:35-14:30,FE-6,LUNCH,,,,,
14:10-14:40,FE-4,Restore 4СПН1 КОБ2 panel – preparation steps. Tagup with specialists (S-band),,,,,
TIME,CREW,,ACTIVITY,,,,
06:00-06:10,"FE-6, CDR",Morning Inspection,,,,,
,,Morning Inspection.,,,,,
,,"Reload Laptop RS2(1) and RSS1,2",,,,,
,,Visual Inspection of Circuit Breakers [АЗС] on DC Power Switch Panel (БВП),,,,,
06:00-06:10,FE-4,"and Fuses on MRM2 Fuse Boxes 30, 36",,,,,
,,SM ПСС (Caution & Warning Panel) Test,,,,,
,,Inspection of СМ-У connector on МНР-НС separator pump behind АСУ panel,,,,,
,,139,,,,,
06:10-06:40,,Post-sleep,,,,,
06:40-07:30,,BREAKFAST,,,,,
07:30-07:45,FE-6,Work Prep,,,,,
07:30-07:50,"CDR,FE-4",Work Prep,,,,,
07:45-07:50,FE-6,Open LAB Window Shutter for ISSAC ops.,,,,,
07:50-08:05,,Daily Planning Conference (S-band),,,,,
,,Waste and Hygiene Compartment (WHC) Pre-Treat Tank and Pre-Treat Tank,,,,,
08:05-09:55,CDR,,,,,,
,,Hose Remove & Replace,,,,,
08:05-11:00,FE-6,LAB – clean starboard aft IMV fan,,,,,
08:15-11:45,FE-4,Dismantle PCE Z0000 unit in SM,,,,,
09:55-10:55,CDR,Physical Exercise (CEVIS),,,,,
10:55-12:55,CDR,Express 2(LAB1O1) Rack – Express-2 T61p laptop set-up for software installation,,,,,
11:00-11:10,FE-6,WRS – water sample analysis,,,,,
11:10-12:40,FE-6,Physical Exercise (ARED),,,,,
11:45-12:05,FE-4,Re-mate КСК2 cables from МБРЛ to БКИПН,,,,,
12:15-12:45,FE-4,СОЖ Maintenance,,,,,
12:40-12:45,FE-6,Inspect and service CGBA camera,,,,,
12:45-13:45,"FE-4,FE-6",LUNCH,,,,,
12:55-13:55,CDR,LUNCH,,,,,
13:45-14:15,FE-4,MATI-75. Review and preparation steps,,,,,
13:50-14:00,FE-6,TOCA 2 – data recording,,,,,
13:55-14:05,CDR,Glove Box (MSG) - activation,,,,,
14:00-14:10,FE-6,EHS – AQM ops start,,,,,
14:10-14:15,FE-6,HRF2 Data Management Unit File Update Overview,,,,,
14:15-14:25,FE-6,HRF2 Data Management Unit File Update,,,,,
14:15-14:40,FE-4,"MATI-75. Configuration, v/camera setup",,,,,
14:25-14:55,FE-6,HRF2 Data Management Unit File Update,,,,,
14:25-14:30,CDR,Load DTN laptop using installation DVD,,,,,
14:40-15:10,CDR,InSpace3 set-up end,,,,,
14:40-14:45,FE-4,MATI-75. Photography of Experiment Setup,,,,,
14:45-14:50,FE-4,MATI-75. Container #1 Experiment Run,,,,,
14:55-15:55,FE-6,Dragon - cargo transfer preparation,,,,,
14:55-15:05,FE-4,MATI-75. Swap Containers and Run Experiment with Container #2,,,,,
15:10-15:20,FE-4,MATI-75. Swap Containers and Run Experiment with Container #3,,,,,
15:10-15:20,CDR,Glove Box (MSG) – disconnect power,,,,,
,TIME,,"CREWCDRFE-4FE-6FE-6, FE-4CDRCDRFE-4, FE-6CDRCDR, FE-4,",,,ACTIVITYICRO6 Removal and Relocationorning Inspection.,
,08:00-08:30,,,,,,
,,,,,,,
,,,eboot Laptop RS2(1),,,,
,08:00-08:10,,,,,,
,,,"eload Laptop RSS1, RSS2",,,,
,,,,,,,
,,SM ПСС (Caution & Warning Panel) TestMorning InspectionPost-sleepMorning InspectionPost-sleepBREAKFASTBREAKFAST,,,,,
,08:00-08:10,,,,,,
,08:10-08:40,,,,,,
,08:30-08:40,,,,,,
,08:40-09:00,,,,,,
,08:40-09:30,,,,,,
,09:00-09:30,,,,,,
,,,,,,,
,09:30-09:45,,aily Planning Conference (S-band),,,,
,,"FE-6FE-6FE-4CDRFE-6FE-4FE-6FE-4FE-4FE-6FE-4CDRFE-4FE-4CDRFE-4FE-4FE-4CDR, FE-4,",,,,,
,,Work PrepWork PrepPhysical Exercise (ARED)HMS - AED defibrillator inspectionGas Analyzer Activation in ТК 706ALTEA Shield Tile Disassembly and StowageMonitoring TV Signal on CP SSC2 Laptop during MPEG2 Multicast,,,,,
,09:45-10:05,,,,,,
,09:45-10:05,,,,,,
,09:45-11:15,,,,,,
,10:15-10:20,,,,,,
,10:15-10:25,,,,,,
,10:20-11:05,,,,,,
,,,,,,,
,10:25-10:35,,,,,,
,,,ideo Streaming Testreparation for Monitoring of ТК 707 ApproachXPRESS Rack Locker InstallТТС configuration for ТК 707 Docking to MRM2hysical Exercise T 2ulticast MPEG2 TV Test Using MPEG2 VIDEO SERVER2 SW on CP,,,,
,,,,,,,
,10:45-11:15,,,,,,
,11:05-11:50,,,,,,
,11:15-11:30,,,,,,
,11:25-12:25,,,,,,
,,,,,,,
,11:30-11:40,,,,,,
,,,SC2. Tagup with specialistsonitoring of ТК 707 approach from ISS (from MRM2 side)ountermeasures Systems (CMS) Exercise Gather for upcoming  crew,,,,
,,,,,,,
,11:40-12:50,,,,,,
,,,,,,,
,12:25-12:40,,,,,,
,,,ТК 707)N MCC GO Switch MRM2-Soyuz PEV to ЭЛЕКТ УПР [ELECTR,,,,
,,,,,,,
,,,,,,,
,12:50-12:55,,,,,,
,,CONTR] positionComm Reconfig after ТК 707 Soyuz 707 Docking to MRM2SM TVS Deactivation,,,,,
,,,,,,,
,12:55-13:05,,,,,,
,13:05-13:15,,,,,,
,,,,,,,
,13:15-13:45,,UNCH,,,,
,"FE-6FE-4CDRCDRFE-1, FE-2,",,,,,,
