0,1,2,3,4,5
12:40-13:00,СО-СУ and Progress-СУ hatch opening,,,,
13:00-13:10,CDR,АК-1М air sampling,,,
13:10-13:40,,"Progress deactivation, air duct routing",,,
13:40-14:40,LUNCH,,,,
14:40-14:45,FE-1,RWS cable disconnect,,,
14:40-14:50,CDR,IWIS system: RSU unit removal,,,
14:50-16:15,Crew procedures changeout,,,,
14:50-15:20,FE-1,Transfer of IWIS data to hard drive,,,
15:20-15:50,СОЖ maintenance,,,,
15:50-16:50,Physical exercise (TVIS),,,,
16:15-17:15,CDR,Installation of ЛКТ (ТА251М1Б) and ROM (ПЗУ) in Progress (see Note 3),,,
16:50-18:20,FE-1,Physical exercise (RED),,,
17:15-18:45,CDR,Physical exercise (TVIS / day 2),,,
18:20-18:45,FE-1,IMS file prep,,,
18:45-19:15,,Work prep,,,
19:15-19:30,Daily planning conference (S-band),,,,
19:30-20:00,DINNER,,,,
20:00-20:30,Daily food prep,,,,
20:30-21:30,Pre-sleep,,,,
21:30-06:00,SLEEP,,,,
TIME,CREW,,,,
06:00-06:10,,Morning Inspection,,,
06:10-06:40,,Post-Sleep,,,
06:40-07:30,,Breakfast,,,
07:30-08:00,FE-1,,,,
,,Work Prep,,,
07:30-07:55,,,,,
,CDR,,,,
07:55-08:00,,PLANTS-2. Equipment Monitoring,,,
08:00-08:15,,Daily Planning Conference (S-band),,,
08:15-09:00,FE-1,Ultrasound HRF - CBT,,,
08:15-08:20,,БРПК-1 Separator Inspection,,,
,CDR,Study of Bioelectric Heart Activity at Rest (То=09.10) (FE-1 assisting).,,,
08:20-09:00,,,,,
,,Conference w/experts. (VHF),,,
09:00-09:30,,SM Ventilation Preventive Maintenance. Group A,,,
09:30-10:30,FE-1,Кл140ст-М “+Х” И «–Х» Camera Cable Network Troubleshooting,,,
09:30-10:50,CDR,,,,
10:30-10:50,FE-1,Vozdukh АВК Valve Test Closure,,,
10:50-11:00,,Conference with IBMP Expert (VHF),,,
,CDR,,,,
11:00-11:45,,Кл140ст-М “+Х” И «–Х» Camera Cable Network Troubleshooting,,,
11:00-11:15,,Grab Sampler Container (GSC) Operations,,,
11:15-11:25,FE-1,Formaldehyde Monitoring Kit (FMK) Deployment,,,
11:25-12:40,,PHYSICAL EXERCISE - CEVIS,,,
11:45-12:45,CDR,PHYSICAL EXERCISE (VELO + FORCE LOADER-1) – DAY 2,,,
12:40-12:45,FE-1,Volatile Organics Analyzer (VOA) Inspection,,,
12:45-13:45,,Lunch,,,
13:45-16:45,FE-1,RED Canister Repairs,,,
13:45-14:45,,Кл140ст-М “+Х” И «–Х» Camera Cable Network Troubleshooting,,,
14:45-15:15,,Reentry Conference (S-band),,,
,CDR,,,,
15:15-16:45,,RED Canister Repairs,,,
16:45-18:15,,PHYSICAL EXERCISE - TVIS – DAY 2,,,
16:45-16:55,,Daily Expedition 7 Payload Status Check,,,
,FE-1,,,,
17:00-18:15,,PHYSICAL EXERCISE - RED,,,
18:15-18:30,CDR,"Relaksatsiya. TV Downlink Prep (hardware setup, except battery)",,,
18:15-18:45,FE-1,,,,
,,Daily Plan Review,,,
18:30-18:45,CDR,,,,
18:45-19:00,,Work Prep,,,
19:00-19:15,,Daily Planning Conference (S-band),,,
19:15-19:30,,Work Prep,,,
19:30-20:00,,Dinner,,,
20:00-20:30,,Daily Food Prep,,,
20:30-21:30,FE-1,,,,
,,Pre-Sleep,,,
20:30-21:20,,,,,
,CDR,,,,
21:20-21:30,,DVCAM Battery Charge (DSR PD-1P),,,
21:30-06:00,,Sleep,,,
,GMT,,Crew,,Activity
,06:00–06:10,,,,Morning inspection
,06:10–06:40,,,Post-sleep,
,06:40–07:30,,,BREAKFAST,
,07:30–08:00,,,Prep for work,
,08:00–08:30,,,Post-docking Ku-band TV deconfig,
,08:30–08:55,,CDR,,"TV address: birthday of the Baikonur police chief. TV address downlink:Greeting participants of the ceremonial gathering dedicated to the 40thanniversary of Tereshkova/Bykovsky flight in space (using camera ВК2)(T0=08:24, T1, T2, T3 will be initiated by the СПП Automated DailyTimeline)"
,08:55–09:00,,,PLANTS-2: data downlink,
,11:30–12:30,,,Physical exercise (VELO + Load Trainer-1 / day 3),
,,,,Physical exercise (CEVIS),
,12:30–13:30,,,,LUNCH
,13:30–14:10,,CDR,,Changeout of БРПК-2 separator
,15:00–16:30,,,Physical exercise (TVIS-3),
,,,,Physical exercise (RED),
,17:35–17:45,,,Setup for PAO event,
,17:45–17:55,,,,Prep for PAO event
,17:55–18:15,,,Educational PAO event: Bradley University Institute for gifted students,
,18:15–18:45,,,Daily plan review,
,18:45–19:00,,,Daily planning conference (S-band),
,19:00–19:10,,FE-1,,Prep for work
,19:00–19:30,,CDR,,
,19:10–19:15,,FE-1,,Prep for ham radio contact
,19:15–19:25,,,Ham radio contact,
,19:25–19:30,,,Prep for work,
,19:30–20:00,,,,DINNER
,20:00–20:30,,,Daily food prep,
,20:30–21:30,,,Pre-sleep,
,21:30–06:00,,,SLEEP,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,,Post-sleep,,,
06:40–07:30,,BREAKFAST,,,
07:30–08:00,,Prep for work,,,
08:00–08:15,,Daily planning conference (S-band),,,
08:15–08:55,CDR,INTERACTIONS: questionnaire and data backup,,,
08:15–08:20,FE-1,Microgravity Science Glovebox (MSG) activation,,,
08:20–08:50,FE-1,InSPACE experiment ops,,,
08:50–09:10,FE-1,EXPRESS Rack 1: controller data registration,,,
08:55–09:35,CDR,АСУ T-hose R&R,,,
09:15–09:25,FE-1,INSPACE experiment monitoring,,,
09:35–10:15,CDR,Replacement of БРПК separator on СРВ-К2М line 2,,,
09:45–09:55,FE-1,InSPACE experiment observation,,,
10:15–11:45,CDR,Physical exercise (TVIS-1),,,
10:15–10:25,FE-1,INSPACE experiment monitoring,,,
10:40–10:50,FE-1,InSPACE videocassette changeout,,,
10:50–11:00,FE-1,InSPACE powerdown,,,
11:00–11:05,FE-1,Microgravity Science Glovebox (MSG) powerdown,,,
11:15–11:20,FE-1,Major Component Analyzer (MCA) valve opening,,,
11:35–13:05,FE-1,Periodic fitness evaluation: nominal ops,,,
11:45–12:00,CDR,Prep for КЛ-103-Ц camera test,,,
12:00–12:10,CDR,Test of КЛ-103-Ц camera,,,
12:10–12:40,CDR,Periodic fitness evaluation: CMO,,,
12:50–13:05,CDR,On MCC GO: Regeneration of Ф2 absorption bed in БМП (end),,,
13:05–14:05,,LUNCH,,,
14:05–15:05,CDR,SM dust filters ПФ1-4: cartridge R&R,,,
14:05–14:45,FE-1,Maintenance of СОЖ,,,
14:45–14:55,FE-1,EXPRESS Rack 1: interface controller restart,,,
14:55–15:00,FE-1,Major Component Analyzer (MCA) valve closure,,,
15:10–15:20,CDR,Test of КЛ-103-Ц camera,,,
15:20–16:00,FE-1,IMS file prep,,,
15:20–15:25,CDR,Test of КЛ-103-Ц camera: closeout ops,,,
15:25–16:45,CDR,Cleaning of FGB ventilation fan grilles,,,
16:05–16:20,FE-1,Private medical conference (S-band),,,
16:20–17:50,FE-1,Physical exercise (RED),,,
16:45–17:45,CDR,Physical exercise (VELO + Load Trainer-1 / day 1),,,
17:45–18:00,CDR,Private medical conference (S-band),,,
17:50–18:00,FE-1,Transfer of TVIS/RED files to MEC,,,
18:00–18:15,FE-1,Routine inspection of RED,,,
18:15–18:45,,Daily plan review,,,
18:45–19:00,,Prep for work,,,
19:00–19:15,,Daily planning conference (S-band),,,
19:15–19:30,,Prep for work,,,
19:30–20:00,,DINNER,,,
20:00–20:30,,Daily food prep,,,
20:30–21:30,,Pre-sleep,,,
21:30–06:00,,SLEEP,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–10:30,Weekly housecleaning,,,,
10:30–10:35,FE-1,SSRMS cable connect,,,
10:30–11:30,CDR,Physical exercise (VELO + Load Trainer-1 / day 2),,,
11:30–12:00,ССВП (Docking & Internal Transfer System) tools check,,,,
11:30–12:30,FE-1,Physical exercise (TVIS),,,
12:30–13:30,CDR,LUNCH,,,
12:40–12:50,FE-1,Video downlink setup: videocassette insertion,,,
12:50–13:30,LUNCH,,,,
13:30–14:00,,Weekly planning conference (S-band),,,
14:15–14:20,FE-1,Video downlink setup: videocassette insertion,,,
14:20–14:40,,Weekly conference with Program management (S-band),,,
14:40–15:20,CDR,Maintenance of СОЖ,,,
15:05–15:10,FE-1,IMS auto import/export,,,
15:45–15:55,Video downlink setup: videocassette insertion,,,,
15:55–17:20,Physical exercise (RED),,,,
16:30–18:00,CDR,Physical exercise (TVIS-2),,,
17:20–17:25,FE-1,Video downlink setup: videocassette insertion,,,
18:15–19:00,Video downlink,,,,
19:00–19:10,Video downlink: closeout ops,,,,
19:15–19:30,SSRMS video camera closeout ops,,,,
19:30–20:00,,DINNER,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,CDR,SLEEP,,,
21:45–22:00,FE-1,Private family conference (S-band),,,
22:00–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:20,FE-1,Post-sleep,,,
06:10–06:20,CDR,HEMATOCRIT: hematocrit test,,,
06:20–06:30,FE-1,,,,
06:20–06:30,CDR,Post-sleep,,,
06:30–06:50,,PCBA blood test (FE-1 assist),,,
06:50–07:10,PCBA blood test (subject) (CDR assist),,,,
07:10–08:00,BREAKFAST,,,,
08:00–08:30,Prep for work,,,,
08:30–08:45,Daily planning conference (S-band),,,,
08:45–09:15,Periodic Health Status (PHS) w/ blood test (CDR subject),,,,
09:15–09:45,Periodic Health Status (PHS) w/ blood test (FE-1 subject),,,,
09:45–11:15,CDR,Pressurization of water tank bladder in Progress-259 RODNIK system (useРБС10/3 outlet in DC-1),,,
09:45–10:10,FE-1,Periodic Health Status (PHS) data registration,,,
10:10–10:25,PHS equipment stowage,,,,
10:25–10:35,HRF rack powerup,,,,
10:40–11:10,Measuring СО2 level in IMV,,,,
11:15–12:30,Physical exercise (CEVIS),,,,
11:20–11:25,CDR,PLANTS-2: data downlink,,,
11:25–11:30,Inspection of БРПК-1 separator,,,,
11:30–12:30,Physical exercise (VELO + Load Trainer 1 / day 1),,,,
12:30–13:30,,LUNCH,,,
13:30–13:50,CB/ISS crew conference (Kent Rominger) (S-band),,,,
13:50–15:10,FE-1,Filter changeout in DC-1 dust collectors ПФ1 & ПФ2 / fan screen cleanup inDC-1 fans В1 & В2 (located behind FGB panel 227),,,
13:50–14:30,CDR,IMS file prep,,,
14:30–15:10,INTERACTIONS: questionnaire and data backup,,,,
15:10–15:20,FE-1,Setup for PAO event,,,
15:20–15:30,,Prep for PAO event,,,
15:30–15:50,Educational PAO event for the Marshall Space Center (Ku+S-band),,,,
15:50–16:30,FE-1,Maintenance of СОЖ,,,
16:00–16:15,CDR,Test of C&W panel (ПСС) in DC-1,,,
16:15–17:45,Physical exercise (TVIS-1),,,,
16:30–16:40,FE-1,HRF rack powerdown,,,
16:40–17:55,Physical exercise (RED),,,,
17:45–18:15,CDR,UROLUX setup,,,
18:00–18:15,FE-1,Food warmer inspection and maintenance,,,
18:15–18:45,,Daily plan review,,,
18:45–19:05,CDR,Prep for work,,,
18:45–18:50,FE-1,Ham radio prep,,,
18:50–19:00,Ham radio contact (Ku+S-band),,,,
19:00–19:05,Prep for work,,,,
19:05–19:20,,Daily planning conference (S-band),,,
19:20–19:30,Prep for work,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–07:55,FE-1,Prep for work,,,
07:30–07:50,CDR,,,,
07:50–07:55,PLANTS-2: payload status check,,,,
07:55–08:10,,Daily planning conference (S-band),,,
08:15–10:15,CDR,IMS inventory check,,,
08:15–08:20,FE-1,Microgravity Science Glovebox (MSG): activation,,,
08:20–08:50,InSPACE ops,,,,
09:05–09:15,ISS-7 daily payload status check,,,,
09:15–09:25,INSPACE experiment observations (prep),,,,
09:45–09:55,INSPACE experiment monitoring,,,,
10:15–10:25,INSPACE experiment observations (prep),,,,
10:15–12:45,CDR,PROFILAKTIKA: НС-1 Load Trainer test. Tagup w/ ground specialist (S-band+ VHF),,,
10:35–10:40,FE-1,Repeat connect of UOP to DCP,,,
10:40–10:50,InSPACE cassette changeout,,,,
10:50–11:10,InSPACE coil assembly 3 changeout,,,,
11:10–11:15,Microgravity Science Glovebox (MSG): powerdown,,,,
11:15–11:40,PROFILAKTIKA: assist,,,,
11:45–12:45,Physical exercise (TVIS),,,,
12:45–13:45,,LUNCH,,,
13:45–16:15,Mobile Servicing System (MSS) skill training,,,,
16:15–16:55,CDR,INTERACTIONS: questionnaire and data backup,,,
16:15–16:45,FE-1,Applying yellow decal on TV camera,,,
16:45–18:15,Physical exercise (RED),,,,
16:55–17:35,CDR,IMS file prep,,,
17:35–17:50,Amateur radio pass,,,,
17:50–18:20,Maintenance of СОЖ,,,,
18:20–18:45,,Daily plan review,,,
18:45–19:00,Daily planning conference (S-band),,,,
19:00–19:30,Prep for work,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,,Post-sleep,,,
06:40–07:30,,BREAKFAST,,,
07:30–07:45,,Prep for work,,,
07:45–08:00,,Prep/video camera setup in USOS (FE-1 - assist),,,
08:00–08:15,,Daily planning conference (S-band),,,
,,TV address: Greeting graduates of the Korolyov Military Academy in Zhitomir,,,
08:15–08:25,CDR,,,,
,,(S+Ku-band using US camera),,,
08:25–11:15,,Unloading and IMS tracking of Progress m1-10 cargo,,,
11:15–12:45,CDR,Physical exercise (TVIS-4),,,
11:15–12:30,FE-1,Physical exercise (CEVIS),,,
12:45–13:45,,LUNCH,,,
13:45–15:15,,Unloading and IMS tracking of Progress m1-10 cargo,,,
15:15–15:50,CDR,IMS file prep,,,
15:40–15:50,FE-1,,,,
,,Setup for PAO event,,,
15:50–16:00,,,,,
16:00–16:20,,PAO event,,,
16:20–16:35,CDR,,,,
,,Private medical conference (S-band),,,
16:35–16:50,FE-1,,,,
16:35–16:40,CDR,Inspection of БРПК-1 separator,,,
16:40–17:40,CDR,Physical exercise (VELO + Load Trainer 1 / day 4),,,
16:50–18:05,FE-1,Physical exercise (RED),,,
17:40–18:15,CDR,Maintenance of СОЖ,,,
18:05–18:15,FE-1,Transfer of TVIS/RED files to MEC,,,
18:15–18:45,,Daily plan review,,,
18:45–19:00,,Daily planning conference (S-band),,,
19:00–19:30,,Prep for work,,,
19:30–20:00,,DINNER,,,
20:00–20:30,,Daily food prep,,,
20:30–21:30,,Pre-sleep,,,
21:30–06:00,,SLEEP,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–07:35,CDR,PLANTS-2: payload status check,,,
09:10–09:15,ELECTRON-VM: monitoring free air in the gas/fluid mix,,,,
09:15–09:20,Calldown of СВО water supply status,,,,
09:20–09:25,Calldown of СП counter status,,,,
09:25–09:30,Inspection of БРПК-1 separator,,,,
09:30–09:50,Maintenance of СОЖ,,,,
10:30–11:30,FE-1,Physical exercise (TVIS),,,
11:30–12:30,CDR,Physical exercise (VELO + Load Trainer-1 / day 3),,,
12:30–13:30,,LUNCH,,,
14:05–14:10,FE-1,IMS auto import/export,,,
14:10–14:25,CDR,Private family conference (S+Ku-band),,,
15:00–15:15,On MCC GO: Regeneration of Ф1 absorption bed in БМП (start),,,,
15:15–15:30,FE-1,Private psychological conference (S-band),,,
15:50–16:05,Private family conference (S+Ku-band),,,,
16:45–18:15,CDR,Physical exercise (TVIS-3),,,
,FE-1,Physical exercise (RED),,,
18:15–18:45,,Daily plan review,,,
18:45–19:15,Prep for work,,,,
19:15–19:30,Daily planning conference (S-band),,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00-06:10,,Morning Inspection,,,
06:10-06:40,Post-Sleep,,,,
06:40-07:30,Breakfast,,,,
08:30-08:35,CDR,Electron-VM Gas-Fluid System (ГЖС) Air Check,,,
08:35-08:40,СП Counter Reading Call-Down,,,,
08:40-08:45,СВО Call-Down,,,,
08:45-08:50,PLANTS-2. Equipment Monitoring,,,,
09:45-11:00,FE-1,PHYSICAL EXERCISE TVIS,,,
11:00-12:30,CDR,PHYSICAL EXERCISE TVIS - 2,,,
12:25-12:30,FE-1,Automatic IMS File Import/Export,,,
12:30-13:30,,Lunch,,,
14:05-14:20,CDR,Private Family Conference (S-band),,,
14:45-15:00,FE-1,,,,
16:15-16:30,,,,,
16:50-17:15,CDR,СОЖ Maintenance,,,
17:00-18:15,FE-1,PHYSICAL EXERCISE RED,,,
17:15-18:15,CDR,PHYSICAL EXERCISE (VELO+FL-1) - 2,,,
18:15-18:30,,Review of Daily Plan,,,
18:30-18:45,Daily Planning Conference (S-band),,,,
18:45-19:00,Review of Daily Plan,,,,
19:00-19:30,Work Prep,,,,
19:30-20:00,Dinner,,,,
20:00-20:30,Daily Food Prep,,,,
20:30-21:30,Pre-Sleep,,,,
21:30-06:00,Sleep,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–07:55,CDR,Prep for work,,,
07:30–08:00,FE-1,,,,
07:55–08:00,CDR,PLANTS-2: payload status check,,,
08:00–08:15,,Daily planning conference (S-band),,,
08:15–09:45,CDR,БРПК hardware upgrade,,,
08:15–11:15,FE-1,RED repairs,,,
09:45–11:15,CDR,,,,
11:15–12:30,FE-1,Physical exercise (TVIS),,,
11:15–11:35,CDR,БРПК hardware upgrade,,,
11:35–12:35,Physical exercise (VELO + Load Trainer 1 / day 4),,,,
12:30–12:35,FE-1,Weekly maintenance of TVIS,,,
12:35–13:35,,LUNCH,,,
13:35–14:15,FE-1,Maintenance of СОЖ,,,
13:35–14:00,CDR,MOLNIYA-SM: payload recovery. Tagup w/ ground specialist (S-band),,,
14:00–15:15,MOLNIYA-SM: payload setup for test w/ AGATE monitor. Tagup w/ groundspecialist (S-band),,,,
14:15–14:55,FE-1,IMS file prep,,,
14:55–15:05,FMK stowage,,,,
15:05–15:15,PCBA setup,,,,
15:15–15:35,CDR,MOLNIYA-SM: payload recovery. Tagup w/ ground specialist (S-band),,,
15:15–15:35,FE-1,PCBA blood test,,,
15:35–16:05,RED bolt maintenance,,,,
15:35–15:50,CDR,MOLNIYA-SM: payload teardown. Tagup w/ ground specialist (S-band),,,
15:50–15:55,HEMATOCRIT: test setup,,,,
16:10–16:20,FE-1,Setup for PAO event,,,
16:20–16:30,,Prep for PAO event,,,
16:30–16:50,PAO event: NEMO/ISS-7 crew conference (Ku+S-band),,,,
16:50–17:05,FE-1,Routine inspection of RED,,,
16:50–18:20,CDR,Physical exercise (TVIS-4),,,
17:05–18:20,FE-1,Physical exercise (RED),,,
18:20–18:30,Payload status check,,,,
18:20–18:45,CDR,Daily plan review,,,
18:30–18:45,FE-1,,,,
18:45–19:00,,Daily planning conference (S-band),,,
19:00–19:30,Prep for work,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,,Daily food prep,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-07:30,BREAKFAST,,,,
07:30-07:35,CDR,PLANTS-2: payload status check,,,
07:35-07:50,,Daily planning conference (S-band),,,
07:50-08:15,Prep for work,,,,
08:15-08:30,CDR,On MCC GO Regeneration of Ф1 absorption cartridge in БМП (end),,,
08:15-09:00,FE-1,Monthly maintenance of TVIS,,,
08:30-08:45,CDR,On MCC GO Regeneration of Ф2 absorption cartridge in БМП (start),,,
08:45-09:05,Update of БСММ software from ISS Wiener computer,,,,
09:00-09:05,FE-1,Connect DCP cable,,,
09:05-11:05,,TORU refresher training. Tagup with ground specialist,,,
11:05-12:35,FE-1,Physical exercise (RED),,,
11:05-12:35,CDR,Physical exercise (TVIS / day 4),,,
12:35-13:35,,LUNCH,,,
13:35-14:15,CDR,IMS file prep,,,
13:35-14:05,FE-1,Maintenance of СОЖ,,,
14:05-14:45,FE-1,Config of Ku-band for live TV of Progress/Soyuz docking/undockingand EVA,,,
14:15-14:45,CDR,,,,
14:45-15:15,,TEST of Ku-band TV transmission (TV prep for dock/undock andEVA),,,
15:15-15:45,FE-1,Video survey of TV cables routed through the hatches,,,
15:15-16:15,CDR,Physical exercise (VELO + Load Trainer-1 / day 4),,,
15:45-15:55,FE-1,ISS-7 daily payload status check,,,
16:00-16:20,Warning Book update,,,,
16:55-17:05,CDR,DIATOMEA tagup,,,
17:05-17:35,DIATOMEA ocean observations,,,,
17:05-17:10,FE-1,Demate DCP cables,,,
17:10-18:10,Physical exercise (TVIS),,,,
17:35-17:50,CDR,MOLNIYA-SM: LSO instrument teardown,,,
18:00-18:15,VOZDUKH: transition to auto mode,,,,
18:10-18:15,FE-1,Weekly maintenance of TVIS,,,
18:15-18:30,,Daily planning conference (S-band),,,
18:30-19:00,Daily plan review.,,,,
19:00-19:30,Prep for work,,,,
19:30-20:00,DINNER,,,,
20:00-20:30,Daily food prep,,,,
20:30-21:30,Pre-sleep,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–07:45,Prep for work,,,,
07:45–08:00,Daily planning conference (S-band),,,,
08:00–08:15,CDR,Prep for work,,,
08:05–09:20,FE-1,Repeat potable water sample collection from СРВ-К2М and СВО-ЗВ,,,
08:15–09:15,CDR,Life onboard the ISS: videotaping select scenes,,,
09:20–09:25,FE-1,EMU battery discharge (term),,,
09:25–10:25,Physical exercise (CEVIS),,,,
09:35–11:20,CDR,PROFILAKTIKA: veloergometer test. Tagup w/ ground specialist (VHF+S-band),,,
10:25–10:50,FE-1 (assist),,,,
10:50–11:20,FE-1,Monthly maintenance of CEVIS,,,
11:20–12:20,,SSRMS DOUG review,,,
12:20–13:20,LUNCH,,,,
13:20–13:35,CDR,Private medical conference (S-band),,,
13:20–14:25,FE-1,WMK: in-flight processing of water sample,,,
13:40–14:10,CDR,"TV downlink: ISS crew at work and at rest (Т0=13:45, Т1,Т2,Т3 will beinitiated by the СПП Automated Daily Timeline)",,,
14:10–14:50,Maintenance of СОЖ,,,,
14:25–15:25,FE-1,EMU troubleshooting,,,
15:15–15:25,CDR,Switching СТТС comm system to the primary string,,,
15:25–15:45,FE-1,Emer1 & Emer2 changes,,,
15:35–17:35,CDR,IMS stowage locations update. Search for lost items,,,
15:55–16:25,FE-1,Transfer of IWIS data to HD card,,,
16:25–16:30,A/L air duct config,,,,
16:30–16:45,Private medical conference (S-band),,,,
16:45–18:15,Physical exercise (RED),,,,
17:35–18:15,CDR,IMS file prep,,,
18:15–18:45,,Daily plan review,,,
18:45–19:00,Prep for work,,,,
19:00–19:15,Daily planning conference (S-band),,,,
