0,1,2,4
GMT,CREW,ACTIVITY,
15:45-15:55,.,Morning Inspection,
15:55-16:15,FE-1,Post-sleep,
15:55-16:25,FE-2,Post-sleep,
15:55-16:30,CDR,Post-sleep,
16:15-16:30,FE-1,Biochemical Urine Test,
16:25-17:15,FE-2,BREAKFAST,
16:30-16:40,FE-1,Post-sleep,
16:30-16:45,CDR,Biochemical Urine Test,
16:40-17:30,FE-1,BREAKFAST,
16:45-17:30,CDR,BREAKFAST,
17:15-17:20,FE-2,SLEEP FE2 Data Log,
17:20-17:25,FE-2,JPM and LAB window shutter closure,
17:25-17:30,FE-2,FGB HAM Radio Powerdown,
17:30-17:35,CDR,SLEEP Data Log,
17:35-17:40,CDR,EVA P/TV Camera Test,
17:50-18:55,"CDR,FE-1",Preparation of ПхО and DC1 for EVA. (Set up in DC1 a set of ‘DCDepress/Repress‘ Cue Cards with a light-brown stripe),
17:50-19:55,FE-2,Pre-EVA ISS Onboard System Configuration,
18:55-19:30,"CDR,FE-1",Orlan Systems Checkout,
19:30-19:55,FE-1,DC1 БСС [Orlan Interface Unit] Checkout,
19:30-19:55,CDR,ПхО БСС Checkout,
19:55-20:10,FE-1,БК-3 (1-4) Test in DC1,
19:55-20:10,CDR,Air duct removal from DC1 (skip fan B3 removal),
20:10-20:50,.,Meal,
20:50-21:00,FE-1,"Pre-EVA comm config , reconfiguring C&W indication from ПСС [Caution &Warning Panel] to ПОВ [EVA Support Panel]",
21:00-21:40,"CDR,FE-1","Orlan, БСС, Comm Systems & Biomed Parameter Telemetry Tests",
21:00-21:35,FE-2(assists),"Orlan, БСС, Comm Systems & Biomed Parameter Telemetry Tests",
21:35-22:00,FE-2,Pre-EVA ISS Onboard System Configuration,
21:40-22:00,"CDR,FE-1",Orlan and БСС (Orlan Interface Unit) Final Inspection,
22:00-22:30,.,EVA Gear Donning,
22:30-00:15,.,Pre-EVA Depress,
00:15-06:25,"CDR,FE-1","EVA-21. Installation of Langmuir Probe, EXPOSE-R Hardware, ""ИПИ СМ""Impulse Experiment PL, Removal of Biorisk-MSN Container II, SWG ProjectOps",
00:15-01:45,FE-2,Physical Exercise (RED),
01:45-02:45,FE-2,Physical Exercise (CEVIS),
02:45-04:45,FE-2,Node1 Transfers,
04:45-05:15,FE-2,UOP Reconfig,
05:15-06:05,FE-2,BBA and LHA Installation in JLP,
06:05-06:40,FE-2,BBA and LHA Installation in JLP1PA2,
06:25-07:25,"CDR,FE-1",Post EVA Repress,
06:40-07:15,FE-2,BBA and LHA Installation in JLP,
07:25-07:55,FE-2,Post-EVA ISS Activation,
07:25-07:40,CDR,DC1 Air Duct Installation,
07:25-07:40,FE-1,Biochemical Urine Test,
07:40-07:55,CDR,Biochemical Urine Test,
07:40-07:55,FE-1,"Reconfiguring comm system to initial configuration, reconfigure C&W indicationfrom DC1 and ПхО ПОВ (EVA Support Panels)",
07:55-08:25,.,Meal,
08:25-08:35,FE-1,BIORISK-MSN. Post-EVA Container Closeout Ops (placing into Ziploc bag),
08:35-10:35,"CDR,FE-1","ISS RS, DC1 reconfiguration to initial stateRestore Nominal Comm ConfigurationSoyuz АСУ DeactivationHeat Exchanger Water Supply Line Drying",
08:35-10:35,FE-2,"ISS RS, DC1 reconfiguration to initial state",
10:35-10:55,FE-1,BIORISK-MSN. Post-EVA Container Cleanup Ops,
