0,1,2,3,4,5
GMT,CREW,ACTIVITY,,,
06:00-06:05,CDR,Elektron-VM System Monitoring,,,
,"FE-3, FE-6",Reaction Self Test,,,
,FE-5,Urine Spot Test,,,
06:00-06:10,"FE-1, FE-2",Morning Inspection,,,
06:05-06:10,"CDR, FE-3,FE-6",,,,
,FE-5,Reaction Self Test,,,
06:10-06:40,,Post-sleep,,,
06:40-07:30,BREAKFAST,,,,
07:30-08:30,FE-3,Physical Exercise (VELO),,,
07:40-07:50,"CDR, FE-1,FE-2",Russian Radio PAO (S-band),,,
07:50-08:00,FE-5,PAO Hardware Setup,,,
08:00-08:10,"CDR, FE-1,FE-2",Crew Prep for PAO,,,
08:10-08:20,"CDR, FE-1,FE-2",TV PAO with Roskosmos Management (Ku + S-band),,,
08:45-09:30,,TV PAO Cosmonautics Day Greetings (Ku + S-band),,,
09:40-10:00,TV PAO Cosmonautics Day Greetings (Ku + S-band),,,,
10:35-11:05,PAO. PAO event (Ku + S-band),,,,
11:05-12:35,FE-1,"Physical Exercise (TVIS), Day 1",,,
11:05-12:05,FE-2,"Physical Exercise (VELO), Day 1",,,
11:30-13:00,FE-3,Physical Exercise (ARED),,,
12:50-13:00,"CDR, FE-1,FE-2",PAO With Russian News Service Radio (S-band),,,
13:00-14:00,,LUNCH,,,
14:00-14:20,TV PAO Cosmonautics Day Greetings (Ku + S-band),,,,
14:20-15:00,CDR,СОЖ Maintenance,,,
14:25-14:30,FE-5,PROK Diet Logging (Day 2-4),,,
15:45-16:15,,PAO. PAO Event (Joint Press Conference) (Ku + S-band),,,
16:15-17:45,CDR,"Physical Exercise (TVIS), Day 2",,,
16:15-17:15,FE-1,"Physical Exercise (VELO), Day 1",,,
16:20-17:50,FE-5,Physical Exercise (ARED),,,
16:40-17:40,FE-6,Physical Exercise T 2,,,
17:15-18:45,FE-2,"Physical Exercise (TVIS), Day 1",,,
17:45-18:45,CDR,"Physical Exercise (VELO), Day 2",,,
17:40-19:10,FE-6,Physical Exercise (ARED),,,
