0,1,2,4,5,6,8
GMT  09/08/01,,,,,,
+ZLV +XVV TEAISS ATTITUDE,,,,,,
DAY/NIGHT,,,,,,
ORBIT,6 7 8,,,,,
DAILY ORBIT,3 4 5,,,,,
ALL VHFVHF,ALL VHF ALL VHF,,,,,
TDRS AVAIL,,,,,,
I,,,,,,
S ISS CDR,POSTSLEEP ♣,,,,,
S,,,,,,
ISS PLT,POSTSLEEP ⊕ ♦,,,,,
FE1,POSTSLEEP  IMS-CONF ♥ EXERCISE VELO,,,,,
S H2O-VENT-INH,H2O-VENT-INH,,,,,
Y,,,,,,
MAMS NOM OPS,,,,,MAMS NOM,
SAMS OPS RTS/D2,,,,,SAMS OPS,
SAMS OPS RTS/D1,,,,,SAMS OPS,
E EXPRS1 PWR/THERM,,,,,EXPRS1 PW,
R APCF CRYSTAL GROWTH,,,,,APCF CRYS,
1 BTR OPERATION,,,,,BTR OPERA,
DCPCG CRYSTAL GROWTH,,,,,DCPCG CRY,
DCPCG DATA D/L,,,,,,
DCPCG COMMANDING,,,,,,
EXPRS2 THERMAL,,,,,EXPRS2 TH,
E EXPRS2 POWER,,,,,EXPRS2 PO,
R SAMS OPS ICU/D1,,,,,SAMS OPS,
2 ICE_POP_POWER,,,,,ICE_POP_P,
EXPPCS NOM OPS 48HR,,,,,EXPPCS NO,
E,,,,,,
R,,,,,,
4,,,,,,
HRF RK PWRPC,,,,,,
P BONNER BALL CLCT,,,,,BONNER BA,
L РБО-1,,,,,РБО-1,
K,,,,,,
U-,,,,,,
B,,,,,,
D,,,,,,
S -IMS-CONF,IMS-CONF,,,,,
B H2O-VENT-INH,H2O-VENT-INH,,,,,
D HMS-PPC,HMS-PPCHMS-PPC,,,,,
R,,,,,,
S,,,,,,
IPS COLD BACKUP,IPS COLD BACKUP,,,,,
M EDP-JIN SERVER,,,,,,
C DVIS SWING,,,,,,
C PARALLEL SERVER DN,,,,,PARALLEL,
,♣DAILY PL STATUS CK ♦HMS-PPC,,,,,
,⊕СОЖ-MNT-PILOT ♥HMS-PPC,,,,,
,СОГС-БМП-Ф1-MNT-END,,,,,
NOTES:,STP-1,,,,,
GMT  09/08/01,,,,,,
+ZLV +XVV TEAISS ATTITUDE,,,,,,
DAY/NIGHT,,,,,,
ORBIT,11 12 13,,,,,
DAILY ORBIT,8 9 10,,,,,
ALL VHFVHF,ALL VHF,,,,,
TDRS AVAIL,,,,,,
I,,,,,,
S ISS CDR,СГО-CLN EXERCISE-RED,,,,,
S,,,,,,
ISS PLT,СГО-CLN EXERCISE VELO,,,,,
FE1,СГО-CLN EXERCISE-TVIS+RED ♣,,,,,
S,,,,,,
Y,,,,,,
MAMS NOM OPS,,,,,MAMS NOM,
SAMS OPS RTS/D2,,,,,SAMS OPS,
SAMS OPS RTS/D1,,,,,SAMS OPS,
EXPRS1 PWR/THERM,,,,,EXPRS1 PW,
APCF CRYSTAL GROWTH,,,,,APCF CRYS,
E BTR OPERATION,,,,,BTR OPERA,
R DCPCG CRYSTAL GROWTH,,,,,DCPCG CRY,
1 MAMS COMMANDING 5,MAMS COMMANDING 5,,,,,
,MAMS COMMANDING 5,,,,,
DCPCG COMMANDING,DCPCG COMMANDING DCPCG COMMANDING,,,,,
MAMS STORED DATA D/L,MAMS STORED DATA D/L,,,,,
DCPCG DATA D/L,DCPCG DATA D/L DCPCG DATA D/L DCPCG DATA D/L,,,,DCPCG DAT,
,DCPCG DATA D/L,,,,,
SAMS OPS ICU/D1,,,,,SAMS OPS,
EXPRS2 THERMAL,,,,,EXPRS2 TH,
E EXPRS2 POWER,,,,,EXPRS2 PO,
R ICE_POP_POWER,,,,,ICE_POP_P,
2 EXPPCS NOM OPS 48HR,EXPPCS NOM OPS 48HR,,,,,
EXPPCS HI-RT 2/40,EXPPCS HI-RT 2/40,,,,,
EXPPCS NOM OPS 12HR,,,,,EXPPCS NO,
E,,,,,,
R,,,,,,
4,,,,,,
HRF RK PWRPC,,,,,,
BONNER BALL CLCT,,,,,BONNER BA,
P РБО-1,,,,,РБО-1,
L CPO/PRO EXPPCS CMD,CPO/PRO EXPPCS CMD,,,,,
K,CPO/PRO EXPPCS CMD,,,,,
U -MAIL-SYNC,MAIL-SYNC,,,,,
B,,,,,,
D-S,,,,,,
B,,,,,,
D,,,,,,
R,,,,,,
S,,,,,,
M PARALLEL SERVER DN,,,,,,
C MIS SERVER 1&3 DN,,,,,MIS SERVE,
C,,,,,,
,♣СОГС-БМП-Ф2-MNT,,,,,
,STP-2,,,,,
NOTES:,,,,,,
GMT  09/08/01,,,,,,
+ZLV +XVV TEAISS ATTITUDE,,,,,,
DAY/NIGHT,,,,,,
ORBIT,16 17 18 19,,,,,
DAILY ORBIT,13 14 15 1,,,,,
ALL VHFVHF,ALL VHF ALL VHF ALL VHF,,,,,
TDRS AVAIL,,,,,,
I,,,,,,
S ISS CDR,SLEEP,,,,,
S,,,,,,
ISS PLT,SLEEP,,,,,
FE1,SLEEP,,,,,
S,,,,,,
Y,,,,,,
