0,1,2,4
GMT,CREW,ACTIVITY,
10:30-10:40,"CDR, FE-1, FE-2",Morning Inspection,
10:30-10:35,FE-2-17,Integrate Immune - FE-2 1J Liquid Saliva Sample Collection,
10:35-11:05,FE-2-17,Post-sleep,
10:40-11:10,"CDR, FE-1, FE-2",,
11:05-11:55,FE-2-17,BREAKFAST,
11:10-12:00,"CDR, FE-1",,
11:10-11:50,FE-2,,
11:50-11:55,FE-2,Transfer of Portable Breathing Apparatus (PBA) into Airlock for EVAsupport,
11:55-12:20,"FE-2, FE-2-17",EVA Hygiene Break/Prebreathe,
12:00-12:30,CDR,Prep for Work,
12:00-12:05,FE-1,Radio Deactivation in SM,
12:05-12:35,Prep for Work,,
12:20-13:55,"FE-2, FE-2-17",EVA Prep,
12:55-13:10,"CDR, FE-1",Daily Planning Conference (VHF),
13:10-13:15,CDR,VOA Power Down,
13:10-13:25,FE-1,Verify ИП-1 Flow Meter Positions,
13:25-14:55,Inspection of Working Compartment Shell and Ring,,
13:55-14:10,"FE-2, FE-2-17",EMU Purge,
14:10-15:00,Prebreathe in EMU,,
14:55-16:25,FE-1,"Physical Exercise (TVIS), day 1",
15:00-15:30,"FE-2, FE-2-17",Crew Lock Depress,
15:00-16:30,CDR,Physical Exercise (CEVIS + RED),
15:30-15:50,FE-2,Air Flow Measurement,
15:30-16:25,FE-2-17,LUNCH,
16:25-16:30,FE-1,Connect Internal Wireless Integrated System (IWIS) Accelerometer Cable,
16:25-17:40,FE-2-17,Space Station Remote Manipulator System (SSRMS) Unberths OrbiterBoom Sensor System (OBSS) from stowed location on S1 Truss,
16:30-17:30,"CDR, FE-1, FE-2",LUNCH,
17:30-18:10,CDR,СОЖ Maintenance,
17:30-18:30,FE-1,Inspection of Working Compartment Shell and Ring,
17:40-17:50,FE-2-17,ISS Crew Adaptation,
17:45-18:45,FE-2,Compound Specific Analyzer Activation and Checkout with Resupply Kit,
17:50-18:00,FE-2-17,Space Station Remote Manipulator System (SSRMS) Ungrapples OrbiterBoom Sensor System (OBSS),
18:00-18:30,Space Station Remote Manipulator System (SSRMS) Maneuvers to Node2,,
18:30-18:45,Space Station Remote Manipulator System (SSRMS) grapples Node 2Power and Data Grapple Fixture (PDGF),,
18:30-19:00,FE-1,Counter Measure System (CMS) Harmful Contaminant Measurements inSM,
18:45-18:55,FE-2,CWC Audit,
18:45-19:15,"CDR, FE-2-17",Sokol Space Suit Leak Check,
18:55-19:55,FE-2,Physical Exercise (TVIS),
19:15-21:20,FE-2-17,ISS Crew Adaptation,
19:15-19:30,CDR,Drying Sokol Space Suits,
19:50-20:50,Physical Exercise (VELO) day 1,,
19:55-20:55,FE-2,Physical Exercise (RED),
20:40-21:40,FE-1,"Physical Exercise (VELO+RED), day 1",
21:15-21:20,FE-2,NODE 2 Common Video Interface Unit prep,
21:20-21:25,"FE-2, FE-2-17",Configuration for EMU Glove Photography,
21:20-22:10,CDR,Evening Work Prep,
21:25-21:40,FE-2-17,ISS Crew Adaptation,
21:25-22:25,FE-2,Evening Work Prep,
21:40-21:45,FE-1,Transfer TVIS/RED/CEVIS/HRM data to MEC,
21:45-22:05,IMS Update,,
22:05-22:10,"Terminate Sokol suit drying, start glove drying",,
22:10-23:35,CDR,Post EVA Water Refill ops,
22:10-22:25,FE-2-17,Post EVA Water Refill ops,
22:10-22:40,FE-1,Evening Work Prep,
22:25-22:40,FE-2,Node 2 Port Common Berthing Mechanism (CBM) First Stage Capture,
22:25-23:25,FE-2-17,Evening Work Prep,
22:40-22:55,FE-1,"Sokol Space Suit closeout ops, stow in Soyuz Orbital Module",
22:45-23:15,FE-2,Port Common Berthing Mechanism (CBM) Second Stage Capture andAcquire Bolts,
22:55-23:20,FE-1,Evening Work Prep,
23:15-23:35,FE-2,DINNER,
23:20-23:35,FE-1,IWIS data transfer,
23:25-23:40,FE-2-17,Daily Food Prep,
23:35-23:45,FE-1,,
23:35-23:45,CDR,Evening Report Prep,
23:35-23:40,FE-2,Portable Breathing Apparatus Return to Original Stowage Location,
23:40-23:45,EVA photo downlink,,
23:40-23:45,FE-2-17,Nitrogen Supply Valve Close,
23:45-00:00,,Daily Planning Conference (S-band),
00:00-00:30,"CDR, FE-1",DINNER,
00:00-00:15,FE-2,Daily Food Prep,
00:00-00:15,FE-2-17,Private Medical Conference (S-band),
00:15-00:50,FE-2,Japanese Pressurized Module (JPM) Pressurization Gross Leak CheckInitiation,
00:15-00:45,FE-2-17,DINNER,
00:30-00:50,FE-1,Daily Food Prep,
00:30-01:00,CDR,,
00:45-01:00,FE-2-17,,
00:50-01:50,FE-1,,
00:50-01:20,FE-2,Pre-sleep,
01:00-02:00,"CDR, FE-2-17",,
01:20-01:35,,Gross Leak Check Termination and Fine Leak Check Initiation,
,FE-2,,
01:35-02:00,,Pre-sleep,
,,Internal Wireless Integrated System (IWIS) Remote Sensor Unit (RSU),
01:50-02:00,FE-1,,
,,Accelerometer Cable Disconnect,
02:00-10:30,,SLEEP,
Task List,FE-1,Search for Lulin-ISS kit,
GMT,CREW,ACTIVITY,
06:00-06:10,.,Morning Inspection,
06:10-06:40,FE-2,Post-sleep,
06:10-06:20,CDR,МО-8. Set-up,
06:10-06:25,FE-1,Post-sleep,
06:20-06:35,CDR,Body mass measurement,
06:25-06:35,FE-1,Calf volume measurement,
06:35-06:55,CDR,Post-sleep,
06:35-06:50,FE-1,Body mass measurement,
06:40-06:50,FE-2,Calf volume measurement,
06:50-07:05,Body mass measurement,,
06:50-07:05,FE-1,Post-sleep,
06:55-07:05,CDR,Calf volume measurement,
07:05-07:55,"FE-1,FE-2",BREAKFAST,
07:05-07:15,CDR,MO-8. Close-out ops,
07:15-07:25,Post-sleep,,
07:25-08:15,BREAKFAST,,
07:55-08:10,FE-1,БМП Ф1 Absorption Cartridge Regeneration (start),
07:55-08:15,FE-2,Prep for Work,
08:10-08:20,FE-1,,
08:20-08:35,.,Daily Planning Conference (S-band),
08:35-08:45,FE-2,Prep for Work,
08:35-10:35,"CDR,FE-1",Review procedure for Orlan suited translation to Soyuz Orbital Compartment.Tagup with specialists (S-band),
08:45-09:45,FE-2,Crew time for ISS adaptation and orientation,
09:55-10:35,Review procedure for Orlan suited translation to Soyuz Orbital Compartment.Tagup with specialists (S-band),,
10:35-11:35,JEM System Laptop (SLT) Installation,,
10:35-12:05,FE-1,Search for Russian EVA equipment and tools. Tagup with specialists (S-band),
10:35-12:05,CDR,"Physical Exercise (TVIS), day 1",
11:35-11:45,FE-2,JEM System Laptop Activation,
11:45-12:40,JPM/JLP System Local Bus Reconfig,,
12:05-13:05,CDR,Soyuz Orbital Compartment and DC1 config for EVA and IMS updates. Tagup withspecialists as necessary (S-band),
12:05-13:05,FE-1,"Physical Exercise (VELO + RED), day 1",
12:40-13:20,FE-2,СОЖ Maintenance,
13:20-14:20,.,LUNCH,
14:20-14:50,FE-2,FSS - procedure review,
14:25-14:45,FE-1,MATRYOSHKA-R. BUBBLE-dosimeter detector checkout and photography. Tagupwith specialists as necessary (S-band),
14:25-14:45,CDR,"SDTO-50448 MATRYOSHKA. Loading ""new"" parameter table into hardware.Tagup with specialists as necessary (S-band)",
14:45-16:45,FE-1,Soyuz Orbital Compartment and DC1 config for EVA and IMS updates. Tagup withspecialists as necessary (S-band),
14:45-17:15,CDR,,
14:50-15:50,FE-2,US EVA tool config,
15:50-17:20,Physical Exercise (RED),,
16:45-18:15,FE-1,"Physical Exercise (TVIS), day 1",
17:15-17:40,CDR,Prep for Work,
17:20-18:20,FE-2,Physical Exercise (CEVIS),
17:40-18:40,CDR,"Physical Exercise (VELO + RED), day 1",
18:15-18:50,FE-1,Prep for Work,
18:20-18:30,FE-2,JEM System Laptop (SLT) Relocation,
18:30-18:50,Prep for Work,,
18:40-18:45,CDR,Hematocrit. Setup,
18:45-18:50,"Transfer of TVIS, RED, and HRM data to MEC",,
18:50-19:05,.,Daily Planning Conference (S-band),
19:05-19:30,.,Prep for Work,
19:30-20:00,.,DINNER,
20:00-20:30,.,Daily Food Prep,
20:30-21:15,FE-1,Pre-sleep,
20:30-21:30,"CDR,FE-2",,
21:15-21:30,FE-1,БМП Ф1 Absorption Cartridge Regeneration (termination),
21:30-06:00,.,SLEEP,
Task List,CDR,IMS Update,
FE-1,Expedition-16 Food Ration Containers prep for disposal (Food Ration Containerrepack),,
GMT,CREW,ACTIVITY,
05:30-05:40,,Morning Inspection,
05:40-06:10,,Post-sleep,
06:10-07:00,,BREAKFAST,
07:00-07:10,"CDR, FE-1",Prep for Work,
07:00-07:30,FE-2,,
07:10-07:40,"CDR, FE-1",ПКО-BETA 08 Biomed Harness checkout using GAMMA equipment. EVAPrep Comm Reconfig,
07:40-08:00,FE-2,RED bolt maintenance,
07:40-07:55,"CDR, FE-1",Comm config,
07:55-08:15,Orlan and БСС telemetry check. Orlan comm check and medicalparameter test,,
08:00-08:30,FE-2,Removal of JPM internal TV camera launch restraints,
08:15-08:30,"CDR, FE-1",Prep for Work,
08:30-08:45,,Daily Planning Conference (S-band),
08:45-09:00,CDR,БМП Ф2 Absorption Cartridge Regeneration (start),
09:00-09:10,FE-1,RSS1 Laptop BRI logs dump,
09:10-09:25,,ISS Crew and ГОГУ (RSA Flight Control Team) Weekly Conference (S-band),
09:25-10:25,FE-2,ISS Crew Orientation,
09:25-09:55,"CDR, FE-1",Orlan and БСС telemetry check. Spacesuit voice and medical parametercomm check,
10:05-10:20,IMS tagup (S-band),,
10:20-11:20,CDR,"Physical Exercise (VELO + RED), day 2",
10:20-10:40,FE-1,MATRYOSHKA-R. Taking Lulin-5 Readings. Tagup with specialists (S-band),
10:25-10:35,FE-2,Station Support Computer (SSC) Relocation,
10:40-10:50,CSA-CP battery replacement,,
10:40-10:55,FE-1,Verify ИП-1 Flow Meter Positions,
10:50-11:30,FE-2,On-Orbit Hearing Assessment with EarQ Software,
11:05-12:35,FE-1,"Physical Exercise (TVIS), day 2",
11:30-12:00,FE-2,AED test,
11:55-12:05,CDR,Restore the nominal comm. configuration after comm check from thespace suit,
12:00-12:10,FE-2,Installation of eyewash device and crew harmful contaminants protectionkit,
12:05-12:35,CDR,Orlan #25 switch to stowage mode,
12:10-12:20,FE-2,SODF deploy,
12:20-12:35,Photo/TV setup for PFE footage,,
12:35-13:35,,LUNCH,
13:35-16:35,FE-1,Urine transfer from EDV-U to Progress 364 Rodnik Water Tank 2 / Tagupwith specialists (as necessary) (S-band),
13:35-13:55,FE-2,Battery Stowage Assembly (BSA) Battery Recharge Terminate,
13:35-15:05,CDR,Cleaning ГЖТ4 (Gas-Liquid Heat Exchanger) ВТ-7 fan screen,
13:55-14:05,FE-2,HRF2 - history photography of Gas Delivery System (GDS),
15:00-16:30,Periodic Health Status – subject,,
15:15-15:35,CDR,IMS Update,
15:35-16:05,Periodic Health Status - assistance,,
16:20-17:50,"Physical Exercise (TVIS), day 2",,
16:35-17:45,FE-1,"LULIN. Hardware setup, electrical configuration, battery setup forcharging. Tagup with specialists (S-band)",
17:00-17:15,FE-2,Stow video equipment used to film PFE,
17:15-18:15,Physical Exercise (RED),,
17:45-18:45,FE-1,"Physical Exercise (VELO + RED), day 2",
17:50-18:30,CDR,СОЖ Maintenance,
18:15-18:20,FE-2,O2 level check,
18:20-18:25,Disconnect LAB1D6 rack from LTL after CDRA Deactivation,,
18:25-18:55,Evening Work Prep,,
18:30-18:35,CDR,"Transfer of TVIS, RED, and HRM data to MEC",
18:35-18:55,CDR,Evening Work Prep,
18:45-18:55,FE-1,,
18:55-19:10,,Daily Planning Conference (S-band),
19:10-19:30,,Flight Director / ISS Crew Tagup (Ku + S-band),
19:30-20:00,,DINNER,
20:00-20:15,CDR,Daily Food Prep,
20:00-20:30,"FE-1, FE-2",,
20:15-21:15,CDR,Pre-sleep,
