0,1,2,3,4,5,6,7,8,9,10,13,14
19:35-21:25,FE-6,Pre-sleep,,,,,,,,,,
21:20-21:30,FE-4,URAGAN. FSS PL Battery Charge (start),,,,,,,,,,
21:25-21:30,FE-6,MPC Power Down,,,,,,,,,,
21:30-06:00,"CDR, FE-1,FE-4, FE-6,FE-5",SLEEP,,,,,,,,,,
21:30-22:00,FE-3,SLEEP,,,,,,,,,,
22:00-22:15,FE-3,Private Special Conference,,,,,,,,,,
22:15-06:00,FE-3,SLEEP,,,,,,,,,,
Task List,"CDR, FE-1,FE-4",Preparation of reports for Roskosmos site,,,,,,,,,,
GMT,CREW,ACTIVITY,,,,,,,,,,
03:30-03:40,"CDR, FE-1,FE-4",Morning Inspection,,,,,,,,,,
03:40-04:10,"CDR, FE-1,FE-4",Post-sleep,,,,,,,,,,
04:10-05:00,"CDR, FE-1,FE-4",BREAKFAST,,,,,,,,,,
05:00-05:15,,Daily Planning Conference (S-band),,,,,,,,,,
05:15-05:35,"FE-1, CDR,FE-4",Work Prep,,,,,,,,,,
05:20-05:25,FE-4,TVIS Skirt Removal,,,,,,,,,,
05:25-06:10,"CDR, FE-4",TVIS Removal from SM Pit,,,,,,,,,,
05:35-05:50,FE-1,Terminate charging STIMUL-01 LF Battery,,,,,,,,,,
05:50-06:30,FE-1,"Cleaning of В1, В2 Fan Screens in DC1 and Photography (before cleaning)",,,,,,,,,,
06:10-07:15,CDR,PNEUMOCARD  Experiment,,,,,,,,,,
06:10-09:00,FE-4,Remove and Replace TVIS Controller and Check Connectors,,,,,,,,,,
06:30-08:00,FE-1,MRM1 Fan Screen Cleaning and Photography (Group C) (before cleaning),,,,,,,,,,
07:15-07:20,CDR,IZGIB -DAKON. Payload Status Check,,,,,,,,,,
07:30-09:00,CDR,Physical Exercise (ARED),,,,,,,,,,
08:00-08:15,FE-1,Verify ИП-1 sensor positions,,,,,,,,,,
09:30-11:00,FE-1,Physical Exercise (T2)- 4,,,,,,,,,,
09:00-09:45,"CDR, FE-4",Install TVIS into the SM pit,,,,,,,,,,
09:45-10:25,FE-4,TVIS Maintenance after Gyroscope Installation,,,,,,,,,,
10:00-10:35,CDR,"IZGIB -DAKON. Download Data to USB Drive, Clear Archive and Downlink Data. Deactivate",,,,,,,,,,
10:25-10:35,FE-4,Downlink TVIS Speed Data,,,,,,,,,,
11:00-12:00,,LUNCH,,,,,,,,,,
12:00-12:40,FE-1,"ВД1,ВД2 and МИМ2 Airduct Cleaning in MRM2",,,,,,,,,,
12:10-12:25,CDR,Private Family Conference (S + Ku-band),,,,,,,,,,
12:40-13:00,"FE-1, CDR",Re-install MRM2-ПхО Air Duct in SM,,,,,,,,,,
13:00-14:00,FE-1,"Physical Exercise (VELO), Day  4",,,,,,,,,,
14:00-14:30,FE-1,"Replace Urine Receptacle [МП] and Filter-Insert [Ф-В] in the Toilet [АСУ] InstallМП receptacle #0800282 (00050578R, СМ1 СМ1РО_1_134_1, bag 408-21(00055446R)), Filter Insert Ф-В #906201 (00050885R, СМ1РО_1_138_1,pouch 0570069 (00044339R)). Update IMS.",,,,,,,,,,
14:00-15:00,FE-4,"Physical Exercise (VELO), Day  1",,,,,,,,,,
14:30-15:10,FE-1,СОЖ Maintenance,,,,,,,,,,
14:35-15:45,CDR,Physical Exercise (T2) day 4,,,,,,,,,,
15:10-15:30,FE-1,IMS Update,,,,,,,,,,
15:10-15:15,FE-4,TVIS Video Setup,,,,,,,,,,
15:15-16:10,FE-4,TVIS Test Exercise Session after Gyroscope Installation Tagup with MCC-Hspecialists (S-band),,,,,,,,,,
15:25-16:15,"FE-1, FE-4",Evening Work Prep,,,,,,,,,,
15:35-16:15,CDR,Evening Work Prep,,,,,,,,,,
16:10-16:15,FE-4,Post TVIS Test Camcorder Teardown,,,,,,,,,,
,"CDR, FE-1,",,,,,,,,,,,
16:15-16:30,,Daily Planning Conference (S-band),,,,,,,,,,
,FE-4,,,,,,,,,,,
16:30-18:15,FE-1,Pre-sleep,,,,,,,,,,
16:30-18:30,"CDR, FE-4",Pre-sleep,,,,,,,,,,
18:15-18:30,FE-1,BAR Pyren Charging Start,,,,,,,,,,
18:30-03:00,,SLEEP,,,,,,,,,,
,"CDR,FE-",,,,,,,,,,,
,,Preparation of reports for Roskosmos site,,,,,,,,,,
,"1,FE-4",,,,,,,,,,,
Task List,,,,,,,,,,,,
,"CDR,FE-1",Equipment prepack for return on the Shuttle,,,,,,,,,,
,CDR,Replacement of RSK1 Laptop Network Cable,,,,,,,,,,
GMT,CREW,ACTIVITY,,,,,,,,,,
06:00-06:10,CDR,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,,,,,,,,,,
06:00-06:10,"FE-1, FE-3,FE-4, FE-5,FE-6",Morning Inspection,,,,,,,,,,
06:10-06:40,,Post-sleep,,,,,,,,,,
06:40-07:30,,BREAKFAST,,,,,,,,,,
07:30-07:55,,Daily Planning Conference (S-band),,,,,,,,,,
07:55-08:05,FE-3,Power Up,,,,,,,,,,
07:55-10:15,CDR,Loading disposal hardware to Progress 411 and IMS updates,,,,,,,,,,
07:55-10:55,"FE-1, FE-4","Review of preliminary EVA timeline and ODF. Viewing DVD. Tagup withspecialists (S-band, VHF)",,,,,,,,,,
07:55-08:15,FE-6,Work Prep,,,,,,,,,,
07:55-08:05,FE-5,Super Sensitive HDTV Converter System Setup,,,,,,,,,,
08:05-08:10,FE-3,Work Prep,,,,,,,,,,
08:05-08:15,FE-5,Super Sensitive HDTV MPC Downlink Start,,,,,,,,,,
08:10-08:20,FE-3,VO2ma-4 Video Setup,,,,,,,,,,
08:15-08:20,FE-6,Set up video equipment to record ARED exercise,,,,,,,,,,
08:20-08:45,FE-3,VO2 Protocol Preparation,,,,,,,,,,
08:20-09:50,FE-6,Physical Exercise (ARED),,,,,,,,,,
08:30-08:50,FE-5,Treadmill Exercise Video Recording Preparation,,,,,,,,,,
08:45-09:05,FE-3,PFS VO2max SW calibration and hardware checkout,,,,,,,,,,
08:50-09:50,FE-5,Physical Exercise T2,,,,,,,,,,
09:05-09:45,FE-3,VO2max Crew Experiment Protocol,,,,,,,,,,
09:45-09:55,FE-3,VO2 Closeout Ops,,,,,,,,,,
09:50-10:00,FE-5,Treadmill Exercise Video Recording Termination,,,,,,,,,,
09:50-11:20,FE-6,WHC R&R,,,,,,,,,,
09:55-10:00,FE-3,VO2 Data Downlink,,,,,,,,,,
10:00-10:35,FE-3,VO2 Stowage,,,,,,,,,,
10:15-11:45,CDR,"Physical Exercise (TVIS), Day 1",,,,,,,,,,
10:40-11:00,FE-5,ТЕРС Relocation,,,,,,,,,,
11:00-11:20,FE-3,HMS Visual Testing Activity,,,,,,,,,,
11:10-11:20,FE-5,SCOF Cable Connection,,,,,,,,,,
11:20-12:20,FE-4,"Physical Exercise (VELO), Day 2",,,,,,,,,,
11:20-12:20,FE-1,"Physical Exercise (TVIS), Day 1",,,,,,,,,,
11:20-12:50,FE-5,Physical Exercise (ARED),,,,,,,,,,
11:20-12:50,FE-3,Inspection of Portable Breathing Apparatus (PBA) and Portable Fire Extinguisher(PFE),,,,,,,,,,
11:20-12:50,FE-6,ARIS Snubber Cup Adjustment,,,,,,,,,,
12:20-13:20,"CDR, FE-1,FE-4",LUNCH,,,,,,,,,,
12:50-13:50,"FE-3, FE-5,",LUNCH,,,,,,,,,,
,FE-6,,,,,,,,,,,
13:20-15:50,"FE-1, FE-4",Locate EVA-29 Hardware and Tools. Tagup with specialists (S-band),,,,,,,,,,
13:30-14:10,CDR,СОЖ Maintenance,,,,,,,,,,
13:50-13:55,FE-3,VO2max Crew Portable Pulmonary Function System Conclude,,,,,,,,,,
13:50-14:50,FE-6,PMM Cleanup,,,,,,,,,,
13:50-15:50,FE-5,US Sound Level Meter (SLM) Setup and Acoustic Survey,,,,,,,,,,
14:05-14:25,FE-3,Gather SOLO Food Containers,,,,,,,,,,
14:25-14:30,FE-3,EPM Laptop Activation,,,,,,,,,,
14:30-14:50,FE-3,SOLO PCBA. Internal Batteries Exchange,,,,,,,,,,
14:40-15:10,CDR,SEINER Ocean Observations,,,,,,,,,,
14:50-15:35,FE-6,Scheduled Maintenance of Compound Specific Analyzer- Combustion Products(CSA-CP),,,,,,,,,,
14:50-15:05,FE-3,PCBA Software Update,,,,,,,,,,
15:05-16:35,FE-3,Physical Exercise (ARED),,,,,,,,,,
15:40-15:50,FE-6,CWC Audit,,,,,,,,,,
15:45-16:15,CDR,Photography of SM Kurs-P АКР-ВКА #1 Feeder Line (from Cupola window #6),,,,,,,,,,
15:50-16:45,FE-4,URAGAN. Observations and Photography,,,,,,,,,,
15:50-16:50,FE-1,BIORISK-MSN. Pre-EVA Equipment Setup.  Tagup with specialists (S-band),,,,,,,,,,
15:55-16:10,FE-5,SLM Data Transfer To MEC,,,,,,,,,,
15:55-16:15,FE-6,Start BSA Battery Charge,,,,,,,,,,
16:10-16:15,FE-5,Super Sensitive HDTV MPC Downlink Terminate,,,,,,,,,,
16:15-16:20,FE-5,P/L Multi-Protocol Converter (MPC) Power On,,,,,,,,,,
16:15-16:35,FE-6,Start EMU Battery Charge,,,,,,,,,,
16:15-16:55,CDR,"Microbial Air Sampling (medium 1, sampling locations #9-16)",,,,,,,,,,
16:20-18:20,FE-5,PMM Cleanup,,,,,,,,,,
16:35-16:45,FE-6,Start EMU METOX Regeneration,,,,,,,,,,
16:35-16:50,FE-3,Reboot Server 1 Router,,,,,,,,,,
16:45-17:45,FE-6,Physical Exercise (CEVIS),,,,,,,,,,
16:45-18:15,FE-4,"Physical Exercise (TVIS), Day  2",,,,,,,,,,
16:50-17:10,FE-1,BIORISK.  Photography,,,,,,,,,,
16:50-17:20,FE-3,SSC Laptop Relocation,,,,,,,,,,
16:55-17:15,CDR,IMS Update,,,,,,,,,,
17:10-17:15,FE-1,Photo/TV Camcorder Setup Verification,,,,,,,,,,
17:15-17:45,CDR,Photography of SM Kurs-P АКР-ВКА #1 Feeder Line (from MRM2 Window 1),,,,,,,,,,
17:15-18:40,FE-1,Physical Exercise (ARED),,,,,,,,,,
17:20-17:50,FE-3,SSC Laptop Relocation,,,,,,,,,,
17:45-18:05,FE-6,EMCS Air Mix Supply Module Replacement,,,,,,,,,,
17:50-18:05,FE-3,Reboot Server1 Router,,,,,,,,,,
17:50-18:50,CDR,"Physical Exercise (VELO), Day  1",,,,,,,,,,
18:05-18:10,FE-6,European Modular Cultivation System (EMCS) Degas Module Replacement,,,,,,,,,,
18:15-18:30,FE-6,IMS and Stowage Conference,,,,,,,,,,
18:15-18:40,FE-4,Evening Work Prep,,,,,,,,,,
18:15-18:50,FE-3,Evening Work Prep,,,,,,,,,,
18:20-18:25,FE-5,P/L Multi-Protocol Converter (MPC) Power Off,,,,,,,,,,
18:25-18:50,FE-5,Evening Work Prep,,,,,,,,,,
18:30-18:50,FE-6,Evening Work Prep,,,,,,,,,,
18:40-18:45,FE-1,Stow Video Equipment Used for ARED Exercise Video,,,,,,,,,,
18:40-18:50,FE-4,PAO hardware setup,,,,,,,,,,
18:50-19:15,,Daily Planning Conference (S-band),,,,,,,,,,
,"CDR, FE-1,",,,,,,,,,,,
19:15-19:25,,TV Greetings (S + Ku - band),,,,,,,,,,
,FE-4,,,,,,,,,,,
,"FE-3, FE-5,",,,,,,,,,,,
19:15-19:30,,Evening Work Prep,,,,,,,,,,
,FE-6,,,,,,,,,,,
19:30-19:35,FE-3,MPC Power Up,,,,,,,,,,
,"CDR, FE-1,",,,,,,,,,,,
19:30-21:30,"FE-4, FE-5,",Pre-sleep,,,,,,,,,,
,FE-6,,,,,,,,,,,
19:35-21:25,FE-3,Pre-sleep,,,,,,,,,,
21:25-21:30,FE-3,MPC Power Down,,,,,,,,,,
21:30-06:00,,SLEEP,,,,,,,,,,
,"CDR, FE-1,",,,,,,,,,,,
Task List,,Preparation of reports for Roskosmos site,,,,,,,,,,
,FE-4,,,,,,,,,,,
GMT,,CREW,,ACTIVITY,,,,,,,,
07:00-08:30,,CDR,,Post-sleep. SM ПСС [Caution & Warning Panel] Tests,,,,,,,,
07:00-08:30,,"FE-1,FE-4,FE-3FE-5, FE-6",,Post-sleep,,,,,,,,
08:30-08:45,,,,Daily Planning Conference (S-band),,,,,,,,
08:45-09:05,,FE-3,,Work Prep,,,,,,,,
08:45-09:10,,"CDR,FE-1,FE-4,FE-5",,,,,,,,,,
08:45-09:00,,FE-6,,,,,,,,,,
09:00-10:30,,FE-6,,Physical Exercise (ARED),,,,,,,,
09:05-10:05,,FE-3,,Physical Exercise Т 2,,,,,,,,
09:10-09:25,,CDR,,"Private Family Conference (Ku+S-band, S/G2, S/G1-- backup)",,,,,,,,
09:10-09:25,,FE-5,,Video Camera Assembly 1 Adjustment,,,,,,,,
09:20-09:45,,FE-1,,"ISS-MCC TV Greeting to RAMS (Russian Academy of Medical Sciences)Academician A. A. Baranov on his 70th birthday. То=09:19, Т1, Т2, Т3 fromСПП",,,,,,,,
09:35-09:45,,"FE-4,CDR",,,,,,,,,,
09:25-10:25,,FE-5,,Physical Exercise (CEVIS),,,,,,,,
10:00-11:00,,FE-4,,"Physical Exercise (VELO), Day 3",,,,,,,,
10:05-11:05,,CDR,,Physical Exercise (Т2) Day 2,,,,,,,,
10:05-10:35,,FE-3,,WPA Waste Water Tank Sample,,,,,,,,
10:25-10:35,,FE-5,,Prepare SSC laptop for transfer to ULF7,,,,,,,,
10:30-10:35,,FE-6,,OpsLAN - OSTPV Prep,,,,,,,,
10:35-10:45,,FE-3,,USOS Window Shutter Close,,,,,,,,
10:45-11:15,,"FE-3,FE-6",,In-Flight Maintenance (IFM) Node 2 Tool Audit,,,,,,,,
10:45-12:15,,FE-5,,Physical Exercise Т 2,,,,,,,,
11:00-12:00,,FE-1,,"Physical Exercise (VELO), Day 2",,,,,,,,
11:15-12:15,,FE-6,,Physical Exercise (CEVIS),,,,,,,,
11:15-12:45,,FE-3,,Physical Exercise (ARED),,,,,,,,
11:30-11:45,,FE-4,,"Private Family Conference (Ku+S-band, S/G2, S/G1-- backup)",,,,,,,,
12:10-12:20,,CDR,,IZGIB-DAKON Hardware Activation and Parameter Check. Tagup withspecialists (S-band),,,,,,,,
12:15-12:45,,FE-4,,Photo/TV Hardware Setup Verification,,,,,,,,
12:15-12:45,,"FE-5,FE-6",,Photo/TV Hardware Setup Verification,,,,,,,,
12:40-12:45,,CDR,,IZGIB-DAKON. Payload Status Check. Tagup with specialists (S-band),,,,,,,,
12:45-13:45,,,,LUNCH,,,,,,,,
13:45-13:50,,FE-3,,Camera Timer Setup for Orbiter Approach,,,,,,,,
13:45-13:50,,"FE-4,FE-5,FE-6",,RPM Documentation Preparation,,,,,,,,
13:50-14:05,,"FE-4,FE-5,FE-6",,"Documenting Shuttle Approach, RPM Maneuver",,,,,,,,
13:50-14:05,,FE-3,,Camera Timer Setup for Orbiter Approach,,,,,,,,
14:05-14:15,,FE-6,,Preparing Orbiter Approach Images for Downlink,,,,,,,,
14:05-14:15,,FE-3,,Integrated Immune: Hardware Setup for Crew Saliva Sampling,,,,,,,,
14:15-14:35,,FE-5,,P/TV Docking Video,,,,,,,,
14:15-14:25,,FE-6,,Deactivation of the R-Bar Pitch Maneuver (RPM) Camera Configuration,,,,,,,,
14:25-14:30,,FE-6,,D2XS Battery Recharge,,,,,,,,
14:35-14:45,,FE-5,,Power up PCS in Airlock and Cupola.,,,,,,,,
14:45-14:50,,FE-3,,Docked Video Configuration,,,,,,,,
14:50-15:10,,"CDR,FE-3",,Attitude Control System (ACS) PMA2 Arrival (Thruster Config),,,,,,,,
15:30-16:00,,"FE-3,FE-6",,Post-Docking Hatch Leak Check,,,,,,,,
15:50-17:20,,FE-4,,Physical Exercise (Т2) Day 3,,,,,,,,
16:00-16:40,,CDR,,"СОЖ Maintenance. SM and FGB Flush Counter (СП), Water SupplySystem (СВО), and POTOK Air Purification System Data Calldowns",,,,,,,,
16:20-17:00,,FE-1,,IDENTIFICATION. Copy ИМУ-Ц micro-accelerometer data to laptop,,,,,,,,
16:30-16:35,,"FE-3,FE-6",,STS/ISS Hatch Opening,,,,,,,,
16:35-17:20,,"FE-3,FE-6,MS1,MS2",,STS/ISS Hatch Opening,,,,,,,,
16:40-17:15,,CDR,,"IZGIB-DAKON. Copy data to USB, Archive Cleanup, Downlink. Tagup withspecialists (S-band)",,,,,,,,
16:50-16:55,,"FE-5,CDR",,Hardline ICOM Audio Configuration,,,,,,,,
17:00-17:15,,FE-1,,Orbiter air sampling using AK-1M sampler prior to air duct installation,,,,,,,,
17:20-17:25,,,,Crew Welcome Ceremony,,,,,,,,
17:25-17:55,,,,Safety Briefing,,,,,,,,
17:55-18:00,,FE-5,,Cupola Robotics Work Station (RWS) Restraint Installation,,,,,,,,
17:55-19:25,,CDR,,Physical Exercise (ARED),,,,,,,,
17:55-18:05,,FE-4,,Monitoring Secondary Purification Unit Temperature after Elektron Activation,,,,,,,,
17:55-18:00,,FE-1,,USOS/RS Comm Config For Mated Flight,,,,,,,,
17:55-18:05,,"FE-3,FE-6,MS1,MS2",,STS/ISS Hatch Opening,,,,,,,,
18:00-18:05,,FE-5,,VSW and SSC Activation,,,,,,,,
18:00-19:30,,FE-1,,Physical Exercise (Т2) Day 3,,,,,,,,
18:05-18:10,,FE-6,,D2XS Battery Recharge,,,,,,,,
18:05-18:10,,FE-5,,SSC Router Activation,,,,,,,,
18:05-18:20,,FE-3,,DOUG Review Setup,,,,,,,,
18:10-19:20,,FE-6,,SODF Deploy,,,,,,,,
18:20-20:20,,"FE-3,FE-5",,OBSS unberth with SSRMS and maneuver to handoff to SRMS,,,,,,,,
19:25-20:15,,"CDR,FE-4",,Evening Work Prep,,,,,,,,
19:30-19:45,,FE-1,,ИП-1 Flow Sensor Position Verification,,,,,,,,
19:45-20:20,,FE-6,,EVA Transfer to ISS,,,,,,,,
19:45-20:15,,FE-1,,Evening Work Prep,,,,,,,,
20:15-20:30,,"CDR,FE-1,FE-4",,Daily Planning Conference (S-band),,,,,,,,
20:20-20:30,,"FE-3,FE-6",,Evening Work Prep,,,,,,,,
20:20-20:25,,FE-5,,Cupola Robotics Work Station (RWS) Restraint Removal,,,,,,,,
20:25-20:30,,FE-5,,VSW and SSC Deactivation,,,,,,,,
20:30-20:35,,FE-3,,MPC Power Up,,,,,,,,
20:30-22:30,,"CDR,FE-1,FE-4,FE-5,FE-6",,Pre-sleep,,,,,,,,
20:35-22:25,,FE-3,,Pre-sleep,,,,,,,,
22:25-22:30,,FE-3,,MPC Powerdown,,,,,,,,
22:30-07:00,,,,SLEEP,,,,,,,,
Task List,,"CDR,FE-1,FE-4",,Preparation of reports for Roskosmos site,,,,,,,,
GMT,,CREW,ACTIVITY,,,,,,,,,
06:00-06:10,,"FE-3, FE-5,FE-6",Morning Inspection,,,,,,,,,
06:10-06:40,,Post-sleep,,,,,,,,,,
06:40-07:30,,BREAKFAST,,,,,,,,,,
07:30-07:50,,Work Prep,,,,,,,,,,
07:30-07:40,,"CDR, FE-4",Morning Inspection,,,,,,,,,
07:30-07:40,,FE-1,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,,,,,,,,,
07:40-08:05,,"CDR, FE-1,FE-4",Post-sleep,,,,,,,,,
07:50-08:00,,FE-5,Food Frequency Questionnaire,,,,,,,,,
08:00-08:05,,FE-6,EKAM WORF Battery Swap,,,,,,,,,
08:05-08:30,,,Daily Planning Conference (S-band),,,,,,,,,
08:30-09:25,,"CDR, FE-1,FE-4",BREAKFAST,,,,,,,,,
08:30-08:35,,FE-6,ISSAC Window Shutter Open,,,,,,,,,
08:30-08:35,,FE-3,HMS Defibrillator Inspection,,,,,,,,,
08:35-09:00,,"FE-5, FE-6",Plant Signaling - work site relocation and setup,,,,,,,,,
08:35-08:45,,FE-3,G1 camcorder power up and activation to downlink MSPR Rack configurationimages,,,,,,,,,
08:45-09:35,,FE-3,Multi Purpose Small Payload Rack (MSPR) Small Experiment Area Ops,,,,,,,,,
09:00-09:25,,FE-6,Plant Signaling - work site configuration,,,,,,,,,
09:00-10:05,,FE-5,EHS MCD Water Processing,,,,,,,,,
09:25-09:40,,"CDR, FE-1,FE-4",ISS Crew and ГОГУ (RSA Flight Control Team Management) WeeklyConference (S-band),,,,,,,,,
09:25-09:35,,FE-6,FIR Alignment Guide Removal,,,,,,,,,
09:35-11:55,,FE-3,Multi Purpose Small Payload Rack DC/DC Converter Unit and Hub UnitInstallation,,,,,,,,,
09:40-09:50,,CDR,Work Prep,,,,,,,,,
09:40-09:45,,FE-6,PLSG Experiment Video Camera Activation,,,,,,,,,
09:40-11:00,,"FE-1, FE-4","SLS. Setup БТЛС-Н for EVA (00054310R, ТГК410ГрО_з2_Ц)",,,,,,,,,
09:45-10:00,,FE-6,PLSG Procedure Review,,,,,,,,,
09:50-10:00,,CDR,Photography of В1 and В2 Screens in MRM2,,,,,,,,,
10:00-10:50,,CDR,"Replacement of ПФ1, ПФ2 Dust Collectors and Cleaning В1, В2 Fan Screensin MRM2  (ФГБ1ПГО_2_226_1, Bag 409-32-2 (00053723R)) Update theIMS",,,,,,,,,
10:00-10:05,,FE-6,EMCS Experiment Termination,,,,,,,,,
10:05-10:20,,FE-6,Plant Signaling - remove EC container from rotor A,,,,,,,,,
10:05-10:25,,FE-5,Multi Purpose Small Payload Rack DC/DC Converter Unit and Hub UnitInstallation.  Part 2,,,,,,,,,
10:20-10:50,,FE-6,Plant Signaling - sample processing,,,,,,,,,
10:25-11:55,,FE-5,Physical Exercise (ARED),,,,,,,,,
10:50-11:00,,FE-6,Plant Signaling - sample insertion into MELFI,,,,,,,,,
11:00-11:30,,"FE-1, FE-4",Configuring ПхО for dry run,,,,,,,,,
11:00-11:15,,FE-6,Plant Signaling - remove EC container from rotor B,,,,,,,,,
11:15-11:45,,FE-6,Plant Signaling - sample processing,,,,,,,,,
11:30-13:00,,"FE-1, FE-4",Pressurized Orlan Suit Translation Training in ПхО (proficiency training ofemergency translation to ПхО),,,,,,,,,
11:30-13:00,,CDR,"Physical Exercise (TVIS), Day 1",,,,,,,,,
11:45-11:55,,FE-6,Plant Signaling - sample insertion into MELFI,,,,,,,,,
11:55-13:20,,FE-5,PMM Cleanup,,,,,,,,,
11:55-13:25,,FE-3,Physical Exercise (ARED),,,,,,,,,
12:35-13:00,,FE-6,EMCS - Container Install,,,,,,,,,
13:00-13:20,,FE-6,EMCS Air Mix Supply Module Replacement,,,,,,,,,
13:00-13:55,,FE-4,"Physical Exercise (VELO), Day 2",,,,,,,,,
13:00-14:00,,FE-1,"Physical Exercise (TVIS), Day 1",,,,,,,,,
13:00-13:10,,CDR,Photography of В1 and В2 Screens in DC1,,,,,,,,,
13:10-14:00,,CDR,"Replacement of ПФ1, ПФ2 Dust Collectors and Cleaning В1, В2 Fan Screensin DC1(ФГБ1ПГО_2_226_1, Bag 409-32-2 (00053723R))Update IMS",,,,,,,,,
13:25-14:25,,"FE-3,FE-5,FE-6",LUNCH,,,,,,,,,
13:55-14:55,,FE-4,,,,,,,,,,
14:00-14:55,,FE-1,,,,,,,,,,
14:00-15:00,,CDR,,,,,,,,,,
14:25-15:45,,FE-5,PMM Cleanup,,,,,,,,,
14:25-14:50,,FE-3,MSPR VRU Installation,,,,,,,,,
14:25-14:30,,FE-6,EKAM WORF Battery Swap,,,,,,,,,
14:30-15:55,,FE-6,PMM Cleanup,,,,,,,,,
14:50-14:55,,FE-3,"Stopping G1 Camcorder,  Powering off MPC and G1 closeout",,,,,,,,,
14:55-16:30,,FE-3,PMM Cleanup,,,,,,,,,
14:55-15:55,,"FE-1, FE-4","Consolidate tool caddy, take and downlink pictures, tagup with specialists",,,,,,,,,
15:05-15:45,,CDR,СОЖ Maintenance,,,,,,,,,
15:45-16:05,,CDR,IMS Update,,,,,,,,,
15:45-16:45,,FE-5,Physical Exercise (CEVIS),,,,,,,,,
15:55-17:25,,FE-1,Physical Exercise (ARED),,,,,,,,,
16:00-17:30,,FE-4,"Physical Exercise (TVIS), Day 2",,,,,,,,,
16:05-17:05,,CDR,"Physical Exercise (VELO), Day 1",,,,,,,,,
16:30-16:40,,FE-3,PAO Hardware Setup,,,,,,,,,
16:40-16:50,,"FE-3, FE-6",Crew Prep for PAO,,,,,,,,,
16:45-17:30,,FE-5,PMM,,,,,,,,,
16:50-17:10,,"FE-3, FE-6",PAO Event,,,,,,,,,
17:05-17:30,,CDR,Pre-sleep,,,,,,,,,
17:10-17:20,,FE-3,PAO Hardware Deactivation,,,,,,,,,
17:20-17:30,,FE-3,Evening Work Prep,,,,,,,,,
17:30-17:55,,,Daily Planning Conference (S-band),,,,,,,,,
17:55-18:10,,FE-4,Checkout of БВН air heater fan in Soyuz 702,,,,,,,,,
17:55-18:55,,FE-5,PMM Cleanup,,,,,,,,,
17:55-18:25,,FE-6,Evening Work Prep,,,,,,,,,
17:55-18:40,,CDR,"Progress 410 Activation, Air Duct Removal",,,,,,,,,
17:55-18:10,,FE-1,Evening Work Prep,,,,,,,,,
17:55-18:55,,FE-3,Physical Exercise (CEVIS),,,,,,,,,
18:10-19:00,,FE-1,Pre-sleep,,,,,,,,,
18:40-19:00,,CDR,Removal of Quick-Release Screw Clamps in DC1- Progress 410,,,,,,,,,
18:45-19:15,,FE-4,Evening Work Prep,,,,,,,,,
18:50-18:55,,FE-6,EKAM WORF Battery Swap,,,,,,,,,
18:55-19:00,,FE-3,Daily Diet Monitoring,,,,,,,,,
18:55-19:15,,FE-6,Pre-sleep,,,,,,,,,
18:55-19:15,,FE-5,Evening Work Prep,,,,,,,,,
19:00-19:15,,FE-3,Evening Work Prep,,,,,,,,,
19:00-19:20,,"CDR, FE-1",DC1/Progress 410 Transfer Hatch Closure,,,,,,,,,
19:15-19:35,,"FE-4, FE-3,FE-5, FE-6",Flight Director/ISS Crew Tagup,,,,,,,,,
19:20-20:20,,"CDR, FE-1",DC1-СУ and СУ-Progress 410 Hatch Leak Check,,,,,,,,,
19:35-21:30,,"FE-4, FE-5",Pre-sleep,,,,,,,,,
19:35-19:40,,FE-3,MPC Power Up,,,,,,,,,
19:35-19:45,,FE-6,FIR Alignment Guide Installation,,,,,,,,,
19:40-21:25,,FE-3,Pre-sleep,,,,,,,,,
19:45-21:25,,FE-6,,,,,,,,,,
20:20-21:30,,FE-1,,,,,,,,,,
20:20-21:20,,CDR,,,,,,,,,,
21:20-21:30,,CDR,TV downlink showing DC1-Progress 410 interface prior to hatch closure (viaOCA),,,,,,,,,
21:25-21:30,,FE-6,USOS Window Shutter Close,,,,,,,,,
21:25-21:30,,FE-3,MPC Power Down,,,,,,,,,
21:30-06:00,,,SLEEP,,,,,,,,,
Task List,,"CDR, FE-1,FE-4",Preparation of reports for Roskosmos site,,,,,,,,,
GMT,,CREW,,ACTIVITY,,,,,,,,
02:00-03:30,,CDR,,"Post-sleep (toilet, meal). SM ПСС [Caution & Warning Panel] Test",,,,,,,,
02:00-03:30,,"FE-1, FE-4",,"Post-sleep (toilet, meal)",,,,,,,,
03:30-03:50,,"CDR, FE-1,FE-4",,Work Prep,,,,,,,,
03:50-04:05,,,,Daily Planning Conference (S-band),,,,,,,,
04:10-04:25,,"CDR, FE-4",,Ham Radio Session,,,,,,,,
04:50-05:50,,FE-4,,"Physical Exercise (VELO), Day 4",,,,,,,,
06:10-06:30,,CDR,,PMA2 Departure Config,,,,,,,,
07:20-08:20,,CDR,,"Physical Exercise (VELO), Day 3",,,,,,,,
07:30-09:00,,FE-1,,Physical Exercise (ARED),,,,,,,,
08:20-08:55,,CDR,,"IZGIB-DAKON. Copy data to USB, Archive Cleanup, Downlink. Tagup withspecialists (S-band)",,,,,,,,
08:55-09:00,,CDR,,IZGIB-DAKON Hardware Deactivation. Tagup with specialists (S-band),,,,,,,,
