0,1,2,3
TIME,CREW,,
06:00-06:05,CDR,Reaction Self Test,
06:00-06:10,"FE-1, FE-4",Morning Inspection,
,,Morning Inspection.,
06:00-06:10,FE-2,Reboot Laptop RS2(1),
,,"RSS1, RSS2 Reboot",
06:00-06:05,"FE-3, FE-6",Reaction Self Test,
06:05-06:10,"CDR, FE-6",Morning Inspection,
06:05-06:25,FE-3,HRF Urine Sample Collection,
,"CDR, FE-1,",,
06:10-06:40,"FE-2, FE-4,",Post-sleep,
,FE-6,,
06:25-06:35,FE-3,HRF Urine Sample MELFI Insertion,
06:35-06:45,FE-3,Morning Inspection,
06:40-07:30,FE-2,BREAKFAST. SM ПСС (Caution & Warning Panel) Test (after breakfast),
06:40-07:30,"CDR, FE-1, FE-4, FE-6",BREAKFAST,
06:45-07:00,FE-3,Post-sleep,
07:00-07:30,FE-3,BREAKFAST,
09:00-10:30,CDR,Physical Exercise (ARED),
09:00-09:05,FE-4,PLAZMENNIY KRISTALL. Pressure Check,
09:05-09:20,FE-4,Private Psychological Conference (VHF),
09:15-09:30,FE-6,Private Family Conference,
09:20-10:50,FE-4,"Physical Exercise (TVIS), Day 4",
10:05-10:20,FE-1,"Private Family Conference (Ku + S-band) (S/G2, S/G1-- backup)",
10:30-11:30,FE-2,Physical Exercise (ARED),
10:45-11:45,FE-3,Physical Exercise (CEVIS),
11:30-13:00,FE-6,Physical Exercise (ARED),
11:30-13:00,FE-1,"Physical Exercise (TVIS), Day 3",
12:35-12:55,FE-3,HRF Urine Sample Collection,
12:55-13:00,FE-3,HRF Urine Sample MELFI Insertion,
13:00-14:00,,LUNCH,
14:00-14:20,FE-1,BIF Transfer ТБУ-В container (Mfr #04) at +4 deg C,
14:00-14:40,FE-4,"СОЖ Maintenance. SM and FGB СВО, СГО, СПКУ АСУ Counter, POTOK Air Purification System Data Calldowns",
14:00-14:20,FE-3,HMS Visual Testing Activity,
14:00-14:15,CDR,NANORACK. Module 9 Activation,
15:00-16:00,FE-1,"Physical Exercise (VELO), Day 3",
15:15-15:35,CDR,HMS Visual Testing Activity,
TIME,CREW,,
06:00-06:10,CDR Morning Inspection,,
06:00-06:05,FE-3 EKAM WORF Battery Swap,,
06:00-06:05,FE-6 ICV-3H – Battery Replacement,,
06:00-06:10,FE-4 Morning Inspection. Reboot Laptop RS2(1),,
,Morning Inspection.,,
06:00-06:10,FE-1,,
,SM ПСС (Caution & Warning Panel) Test,,
06:00-06:10,"FE-2 Morning Inspection. RSS1, RSS2 Reboot",,
06:05-06:10,"FE-6, FE-3 Morning Inspection",,
06:10-06:40,Post-sleep,,
06:40-07:30,BREAKFAST,,
07:35-08:00,Daily Planning Conference (S-band),,
08:00-08:15,"CDR, FE-1, FE-3 Work Prep",,
08:00-08:20,"FE-2, FE-4 Work Prep",,
08:00-08:10,FE-6 Work Prep,,
08:10-08:25,FE-6 ISS Crew/SSIPC FD Conference,,
08:15-09:20,FE-1 SM Ventilation System Preventive Maintenance. Group В2,,
08:15-08:25,CDR MELF3 - Ice Brick Insert,,
08:15-08:35,FE-3 Acoustic dosimeters: hardware setup for static measurements (operation 4 of 5),,
08:20-09:20,FE-4 Crew Departure Prep,,
08:25-08:30,FE-6 ICV-3H – Battery Replacement,,
08:25-09:55,CDR Physical Exercise (ARED),,
08:30-09:30,FE-6 Hardware Prepack for Return on 31,,
08:35-08:50,FE-3 Journal Entry,,
08:40-10:10,"FE-2 Physical Exercise (TVIS), Day 4",,
08:50-09:15,FE-3 Crew Medical Officer (CMO) Proficiency Training,,
09:15-09:25,FE-3 TOCA Waste Water Bag (WWB) Changeout,,
09:20-09:50,"FE-4, FE-1 LCS. Copying data from RSE-LCS laptop to RSS2 and data downlink",,
09:25-10:25,FE-3 Physical Exercise (CEVIS),,
09:30-11:30,FE-6 Crew Departure Prep,,
09:50-10:30,FE-1 SM Ventilation System Preventive Maintenance. Group В2,,
09:50-11:20,"FE-4 Physical Exercise (TVIS), Day 2",,
09:55-10:15,CDR Crew Departure Prep,,
,MEMBRANA. Prepare and Start the Experiment with Kit 1 (start run 2). Tagup,,
10:10-10:55,FE-2,,
,with specialists (S-band),,
10:15-10:35,CDR HAM Radio Session,,
10:30-10:50,FE-1 MEMBRANA Photography,,
10:35-11:30,CDR Crew Departure Prep,,
