0,1,2,3,4,5
GMT,CREW,ACTIVITY,,,
16:00-16:10,,Morning inspection,,,
16:10-16:40,Post-sleep,,,,
16:40-17:30,"CDR, FE-2",BREAKFAST,,,
16:40-17:00,FE-1,,,,
17:00-17:15,Private family conference (S-band),,,,
17:15-17:30,BREAKFAST,,,,
17:30-17:35,SSRMS. Cable connection,,,,
17:30-18:00,"CDR, FE-2",Prep for work,,,
17:35-18:05,FE-1,,,,
18:05-18:15,Daily payload status check,,,,
18:15-18:30,,Daily planning conference (S-band),,,
18:30-18:55,"CDR, FE-1",Flight Director tag-up (S-band),,,
18:30-20:55,FE-2,Group C fan grilles cleaning. Dust filter and fan 1 and 2 grilles cleaning,,,
18:55-19:05,"CDR, FE-1",SSRMS maneuver,,,
19:05-20:35,Robo ops,,,,
20:35-20:55,SSRMS maneuver,,,,
20:55-21:45,"FE-2,CDR assist",LBNP training Т0=21:15 Tag-up with specialists. (УКВ),,,
20:55-22:25,FE-1,Physical exercise (RED),,,
21:45-22:30,FE-2,Group C fan grilles cleaning. Dust filter and fan 1 and 2 grilles cleaning,,,
21:50-22:30,CDR,СОЖ maintenance,,,
22:25-23:25,FE-1,Physical exercise TVIS,,,
22:30-23:20,"CDR,FE-2 assist",LBNP training Т0=22:55 Tag-up with specialists. (УКВ),,,
23:25-00:25,,LUNCH,,,
00:25-01:25,"CDR, FE-2",Kurs-II RF feeder visual check,,,
00:25-00:30,FE-1,SSRMS. Cable disconnect,,,
00:30-02:00,RF- accessibility test,,,,
01:25-02:25,CDR,Dust filters 1-4 cartridge changeout in SM,,,
01:25-01:35,FE-2,СО2 filters unit changeout on ИК0501,,,
01:35-02:15,IMS file prep,,,,
02:15-03:45,"Physical exercise (TVIS + Active Rest, day 4)",,,,
02:25-03:25,CDR,Prep for crew departure,,,
02:30-03:00,FE-1,EarthKAM deactivation,,,
03:00-03:15,FMK monitors removal,,,,
03:15-03:25,SSAS activation,,,,
03:25-04:45,CDR,"Physical exercise (TVIS + Active Rest, day 4)",,,
03:25-04:25,FE-1,Prep for crew departure,,,
03:45-04:45,FE-2,,,,
04:25-04:45,FE-1,TVIS/RED/CVIS data transfer to MEC,,,
GMT,,CREW,,ACTIVITY,
00:35-05:05,,.,,Activities per Soyuz procedures,
05:05-05:55,,,Soyuz TMA-1 – DC1 interface leak check,,
05:55-06:00,,VC CDR,,Switch Soyuz to ISS power,
06:05-06:25,,.,,Soyuz-СУ and СУ-DC1 transfer hatch opening.,
06:25-06:40,,,PAO TV event: Arrival of the Visiting Crew,,
06:40-07:10,,.,,Soyuz TMA-1 deactivation,
07:15-07:50,,VC FE-1,,Cargo transfer from Soyuz with IMS support,
