0,1,2,3,4,5
GMT,,,,,
08:00-08:10,,,Morning inspection,,
08:10-08:40,,,Post-sleep,,
08:40-09:30,,,BREAKFAST,,
,.,,,,
09:30-10:00,,,Prep for Work,,
10:20-10:35,,,Daily Planning Conference (S-band),,
10:35-10:50,,,ISS crew and ГОГУ (RSA Flight Control Team) weekly conference (S-band),,
11:05-13:35,"CDR,FE-2",,Stowing cargo in NODE,,
12:05-13:35,FE-1,,"Physical Exercise (TVIS), day 3",,
13:35-15:05,CDR,,Physical Exercise (TVIS + CEVIS),,
13:45-13:50,,,Connect DCP power cable,,
,FE-2,,,,
13:50-14:05,,,Food frequency questionnaire,,
13:50-14:05,FE-1,,Liquid Unit БЖ #056 Pressure Check,,
14:05-15:05,FE-2,,Physical Exercise (RED),,
14.05-14.45,FE-1,,Elektron activation and БД temperature monitoring. S-band Tagup,,
15:05-16:05,.,,LUNCH,,
16:05-16:20,CDR,,Food frequency questionnaire,,
,,,FGB Storage Battery АБ1 monitoring channel check. Tagup with specialists (S-,,
16:05-18:35,FE-1,,,,
,,,band),,
16:10-16:15,,,HAM radio setup,,
,FE-2,,,,
16:15-16:25,,,HAM radio session,,
16:20-16:25,,,SSC File Server Reboot,,
,CDR,,,,
16:25-16:30,,,OCA SSC Router Reboot,,
17:05-17:35,"CDR,FE-2",,ISL Conference (S-band),,
17:35-18:35,CDR,,Physical Exercise (RED),,
18:05-18:25,,,SSRMS ops,,
,FE-2,,,,
18:25-19:55,,,Physical Exercise (CEVIS),,
18:35-19:35,FE-1,,Physical Exercise (VELO+RED) day 3,,
18:40-19:00,,,IWIS deactivation,,
,CDR,,,,
19:50-20:00,,,O2 level check,,
19:55-20:00,FE-2,,Payload status check,,
,CDR,,Transfer TVIS/RED/CEVIS/HRM data to MEC,,
20:00-20:05,,,,,
,FE-2,,Disconnect Display and Control Panel (DCP) power cable,,
20:05-20:35,,,Evening work prep,,
20:35-20:50,,,Daily Planning Conference (S-band),,
20:50-21:10,,,Evening work prep,,
21:10-21:30,,,FD / ISS Crew Conference (S-band),,
,.,,,,
21:30-22:00,,,DINNER,,
