0,1,2,3
GMT,CREW,ACTIVITY,
06:00-06:10,,Morning inspection,
06:10-06:40,,Post-sleep,
06:40-07:30,,BREAKFAST,
09:55-10:00,FE-1,RASTENIYA-2. Hardware status monitoring,
10:00-10:15,FE-1,Regeneration of БМП Ф1 cartridge (terminate),
10:15-12:30,CDR,Physical Exercise (TVIS + RED),
10:15-10:30,FE-1,Nitrogen Purge Unit (БПА) R&R prep,
10:30-11:30,FE-1,Installation of УС-21 container on Progress 260,
11:30-11:40,FE-1,On MCC go: mating telemetry connectors to БИТС2-12On MCC go: mating/demating БПА telemetry connectors toБИТС2-12,
11:40-11:45,FE-1,Closeout ops with БПА unit R&R,
11:45-12:45,FE-1,Physical Exercise (VELO + Force Loader/ cycle 1) day 4,
12:45-13:00,FE-1,Regeneration of БМП Ф2 cartridge (start),
13:00-14:00,.,LUNCH,
16:00-17:30,FE-1,Physical Exercise (TVIS) day 4,
17:55-18:10,FE-1,"PFC (VHF, home phone)",
19:00-19:30,CDR,СОЖ maintenance (calldown on СВО and СП counter),
19:30-20:00,,DINNER (Renal: pill ingestion),
20:00-20:30,,Daily food prep,
20:30-21:30,,Pre-sleep,
21:30-06:00,,Sleep,
Task List,FE-1,Photo imagery of videometer target and retroreflector (ЛСВ-М)attachment fixture,
LSO activation and NARAD parameter input,,,
GMT,,ACTIVITY,
10:55-11:05,,Morning inspection,
11:05-11:35,,Post-sleep. МО-9,
11:35-12:25,,BREAKFAST,
12:25-12:55,,ISS systems pre-EVA config,
12:55-13:25,,Air duct removal in DC1,
13:25-13:55,,Soyuz ТМА-3 prep for EVA,
13:55-14:35,,DC1 prep for EVA,
14:35-15:10,,Orlan systems check,
15:10-15:35,,БСС (Orlan I/F unit) check in DC1,
15:35-15:55,,БК-3 check in DC1,
15:55-16:25,,Comm config for EVA,
16:25-16:55,,LUNCH,
16:55-17:55,,Pre-EVA ISS systems config,
17:55-18:35,,Comm check. Medical monitoring,
18:35-18:50,,Orlan and БСС final check,
18:50-19:30,,Donning gear,
19:30-21:15,,Pre-EVA depress,
21:15-02:45,,EVA-9,
02:45-03:35,,Post-EVA repress,
03:35-04:05,,KROMKA. Close out ops after EVA,
04:05-05:05,,Post-EVA station activation,
05:05-05:35,,DINNER (Renal: pill ingestion),
05:35-06:05,,Return of comm system to initial config,
06:05-06:45,,"Post-Eva Soyuz ТМА-3 return to initial config (Deactivation of АСУ,air duct assembly)",
06:45-07:00,,Post-EVA PILLE dosimeter readings,
06:45-08:40,,"Return of RS ISS, DC1 to initial config, т/о water supply line dryout",
07:00-08:40,,,
08:40-09:10,,Pre-sleep,
09:10-19:00,,SLEEP,
GMT,CREW,ACTIVITY,
06:00-06:10,CDR,Morning Inspection,
06:00-06:10,FE-1,"Monthly station inspection (БВПСО circuit breaker and DC-1 БПП-30,БПП-36 fuse inspection)",
06:10-06:40,,Post-Sleep,
06:40-07:30,BREAKFAST,,
09:25-09:40,FE-1,Private Family Conference (VHF),
10:15-12:30,CDR,PHYSICAL EXERCISE: (TVIS + RED),
11:30-12:30,FE-1,PHYSICAL EXERICISE (VELO+FL-1) – DAY 1,
12:30-13:30,,Lunch,
14:00-14:05,FE-1,HAM Radio Hardware Setup,
14:05-14:15,HAM Radio Session,,
14:20-14:25,CDR,Soyuz 7 (Expedition 8) PL Status Check,
14:25-14:55,EarthKAM: Hardware Deactivation and Stowage,,
16:05-16:35,FE-1,СОЖ Maintenance,
16:35-18:05,PHYSICAL EXERICISE TVIS – DAY 1,,
17:00-17:30,CDR,Red Book Updates,
17:50-18:05,Questionnaire – Log Entry,,
18:05-18:20,,Daily Planning Conference (S-band),
18:20-18:50,Review of Next Day’s Plan,,
18:50-19:20,CDR,Work Prep,
19:00-19:30,FE-1,,
19:20-19:30,CDR,PromISS 3 – Tape Change Out,
19:30-20:00,,DINNER RENAL – Pill Ingestion,
20:00-20:30,Daily Food Prep,,
20:30-21:30,Pre-Sleep,,
21:30-06:00,Sleep,,
Task List,FE-1,Equipment Search,
GMT,CREW,ACTIVITY,
06:00-06:10,,Morning inspection,
06:10-06:40,Post-sleep,,
06:40-07:30,BREAKFAST,,
08:45-09:00,FE -1,Regeneration of БМП cartridge FILTER (Ф1) (end),
09:00-09:15,Regeneration of БМП cartridge FILTER (Ф2) (start),,
09:25-09:40,PPC (VHF),,
