0,1,2,3
GMT,Crew,,
06:00-06:10,"CDR,FE-5,FE-6",Morning Inspection.,
06:00-06:10,FE-1,Morning Inspection.,
,,Morning Inspection.,
06:00-06:10,FE-2,Reboot Laptop RS2(1) Visual Inspection of АЗС position on БВП СО and,
,,"fuses on БПП- 30, БПП-36 Report to MCC",
06:00-06:10,FE-4,"Morning Inspection Reboot RSS1, RSS2, БРИ Temperature Check",
06:10-06:40,.,Post-sleep,
06:40-07:30,FE-1,BREAKFAST. SM ПСС (C&W Panel) Test  (after breakfast) /,
06:40-07:30,"CDR,FE-2,FE-4, FE-5,FE-6",BREAKFAST,
07:30-07:40,FE-5,CRHYT. Circadian rhythm data recording,
08:15-08:20,CDR,P/L – playback start,
08:30-09:45,FE-2,Physical Exercise ARED,
08:45-09:45,CDR,Physical Exercise CEVIS,
09:35-09:45,FE-1,Check antivirus scan results on ВКС laptops. Report to MCC,
09:45-11:15,CDR,Physical Exercise ARED,
09:45-11:15,FE-1,Physical Exercise TVIS - Day 1,
10:30-10:55,FE-5,WRM – start of condensate transfer,
10:30-11:30,FE-6,Physical Exercise CEVIS,
11:30-13:00,FE-6,Physical Exercise ARED,
12:00-13:00,FE-4,Physical Exercise TVIS - Day 4,
12:45-12:50,CDR,P/L- closeout ops,
13:00-14:00,.,LUNCH,
14:00-14:40,FE-2,СОЖ Maintenance,
14:00-14:30,CDR,CSA packing,
14:00-14:25,FE-5,Audiogram recording using EARQ SW,
14:00-14:25,FE-6,Audiogram recording using EARQ SW,
14:30-14:40,CDR,WRS – water sample analysis,
15:00-15:30,FE-5,WRM – end of condensate transfer,
15:30-16:45,FE-2,Physical Exercise TVIS - Day 4,
15:30-17:00,FE-5,Physical Exercise ARED,
16:40-16:50,CDR,TOCA 2 – data recording,
16:45-17:45,FE-1,Physical Exercise VELO – Day 1,
17:00-18:00,FE-5,Physical Exercise T2,
17:25-18:55,FE-4,Physical Exercise ARED,
18:15-18:30,CDR,Private Family Conference,
18:40-18:55,FE-6,JRNL- journal entry,
18:55-19:10,CDR,JRNL- journal entry,
18:55-19:15,"FE-1,FE-2,FE-4, FE-6",,Evening Work Prep
19:10-19:30,"CDR,FE-5",,Evening Work Prep
19:15-19:30,"FE-1,FE-2,FE-4",,Daily Planning Conference (S-band)
19:15-20:00,FE-6,,Pre-sleep
19:30-19:35,CDR,,P/V playback start
19:30-21:30,"FE-1,FE-2,FE-4,",,Pre-sleep
19:30-21:25,FE-5,,Pre-sleep
19:35-21:25,CDR,,Pre-sleep
19:50-20:05,FE-6,,Private Family Conference
20:05-21:30,FE-6,,Pre-sleep
21:25-21:30,CDR,,P/V playback stop
21:25-21:40,FE-5,,Private Family Conference
21:30-06:00,"CDR,FE-1,FE-2, FE-4,FE-6",,SLEEP
21:40-06:00,FE-5,,Sleep
,,,Reports prep for Roskosmos site
Task List,"FE-1,FE-2,FE-4",,ECON-M. Observations and Photography
,,,URAGAN Observations and Photography
TIME,CREW,,
06:00-06:05,CDR,Reaction Self-test,
,,Morning Inspection.,
06:00-06:10,FE-1,,
,,RSS2 Reboot / r/g 1009 step 1,
,,Morning Inspection.,
06:00-06:10,FE-2,,
,,Reboot Laptop RS2(1),
06:00-06:10,FE-4,Morning Inspection.,
06:00-06:05,FE-5,Urine Spot Test,
06:00-06:05,FE-6,ICV - Start battery charge,
06:05-06:10,CDR,Morning Inspection.,
06:05-06:10,FE-6,Urine Spot Test,
06:05-06:10,FE-5,Reaction Self-test,
,"CDR, FE-4, FE-",,
06:10-06:40,,Post-Sleep,
,"1, FE-2",,
06:10-06:20,FE-5,Morning Inspection,
06:10-06:15,FE-6,Reaction Self-test,
06:15-06:20,FE-6,Morning Inspection,
06:20-06:50,"FE-5, FE-6",Post-Sleep,
,,BREAKFAST.,
06:40-07:30,FE-4,,
,,SM ПСС (Caution & Warning Panel) Test (after breakfast),
,"CDR, FE-1, FE-",,
06:40-07:30,,BREAKFAST.,
,2,,
06:50-07:30,"FE-5, FE-6",BREAKFAST.,
07:30-10:30,CDR,Weekly Housekeeping,
,,"Weekly Housekeeping SM Ventilation Subsystem Preventive Maintenance, Group",
,,E,
,,FGB ЦВ2 Fan Cleaning,
07:30-10:30,FE-1,,
,,Inspection of Air Conditioner,
,,Inspection and Cleaning of Auxiliary Computer System (ВКС) Laptops / r/g 1141,
,,БМП (Micropurification Unit) Fan Grille Cleaning,
07:30-10:15,FE-2,Weekly Housekeeping,
07:30-08:45,FE-4,Weekly Housekeeping,
07:30-10:30,FE-5,Weekly Housekeeping,
07:30-08:30,FE-6,Weekly Housekeeping,
08:30-08:35,FE-6,ICV - Start battery charge,
08:35-10:35,FE-6,Weekly Housekeeping,
08:45-10:15,FE-4,Physical Exercise (ARED),
10:15-11:30,FE-2,Physical Exercise (ARED),
10:15-12:00,FE-4,Weekly Housekeeping,
10:30-11:30,CDR,Physical Exercise T2,
10:30-10:35,FE-5,CGBA Status Check and Maintenance,
10:35-11:35,FE-6,Physical Exercise (CEVIS),
11:30-13:00,CDR,Physical Exercise (ARED),
12:00-13:00,FE-1,Physical Exercise VELO-3,
12:00-12:15,FE-2,"Private Family Conference (Ku + S-band) (S/G2, S/G1-- backup)",
TIME,CREW,,
06:00-06:10,"CDR, FE-6",Morning Inspection,
06:00-06:15,FE-1,CHROMATOMASS. Preparation for the Experiment,
06:00-06:10,FE-2,Morning Inspection.  Reboot Laptop RS2(1) RSS2 Reboot,
06:00-06:10,FE-4,Morning Inspection.  SM ПСС (Caution & Warning Panel) Test,
06:00-06:10,FE-5,EKAM Battery Swap,
,"CDR, FE-6,",,
06:10-06:40,"FE-5, FE-2,",Post-sleep,
,FE-4,,
06:15-06:45,FE-1,CHROMATOMASS. Saliva and Blood Collection,
,"CDR, FE-5,",,
06:40-07:30,"FE-2, FE-4,",BREAKFAST,
,FE-6,,
06:45-07:10,FE-1,Post-sleep,
07:10-07:40,FE-1,BREAKFAST,
,"FE-6, CDR,",,
07:30-07:40,"FE-5, FE-2,",Work Prep,
,FE-4,,
07:40-08:05,,Daily Planning Conference (S-band),
08:05-08:25,FE-4,Work Prep,
08:05-08:15,FE-2,Work Prep,
08:05-08:20,CDR,Robonaut Procedure Review,
08:10-08:30,FE-6,ODF Procedure Printout,
08:10-08:20,FE-5,MELFI - Adhesive Retrieval,
08:15-09:45,FE-2,Changeout of СРВК-2М Water Conditioning Unit Purification Columns (БК БКВ),
08:20-08:30,CDR,Camcorder activation to capture Robonaut video in Node 2,
08:25-08:45,FE-1,Work Prep,
08:25-08:30,FE-4,MRM2 comm config to support voice comm during experiment,
08:30-08:50,FE-5,IV-ТЕРС Transfer,
08:30-08:50,CDR,Robonaut Taskboard Setup,
08:30-09:30,FE-4,Kulonovskiy Kristall Experiment. Tagup with specialists (S-band),
08:30-08:40,FE-6,SSC - Data Gathering,
08:45-09:00,FE-1,CHROMATOMASS. Closeout Ops,
08:45-13:15,FE-6,APS Upgrade Part 1,
08:50-09:50,"FE-5, CDR",Robonaut Hardware Assembly,
09:00-09:30,FE-1,Clean FGB ЦВ1 Fan Guard Screen,
09:30-10:00,FE-4,KULONOVSKIY KRISTALL. Hardware Teardown,
09:30-10:30,FE-1,"Cleaning FGB ГЖТ Detachable Screens 1, 2, 3",
09:45-10:05,FE-2,СРВ-К2М Sediment Trap Insert Inspection,
09:50-09:55,CDR,ROBONAUT- MPC Setup,
09:50-13:25,FE-5,UBNT - Ultrasonic Background Noise Test Sensor Kit Installation,
10:00-10:05,FE-4,MRM2 Comm Reconfig,
10:00-10:30,CDR,ROBONAUT System Power Up,
10:05-10:35,FE-4,KULONOVSKIY KRISTALL. Copying data to removable hard drive,
10:05-11:35,FE-2,Physical Exercise (ARED),
10:30-10:40,CDR,CIR Alignment Guide Installation,
10:30-12:00,FE-1,"Physical Exercise (VELO), Day 3",
10:35-12:00,FE-4,EXPANDER Exercise,
10:40-11:40,CDR,Physical Exercise T2,
11:40-13:10,CDR,Physical Exercise (ARED),
12:00-13:00,FE-1,Physical Exercise T2,
12:10-12:50,FE-2,СОЖ Maintenance,
