0,1,2
,FE-1,SEYNER. World Ocean study.
TIME,CREW,ACTIVITY
06:00-06:05,CDR,REMINDER-BP - Reading Reminder
,,Morning Inspection. SM ПСС (Caution & Warning Panel) Test
06:00-06:10,FE-1,Inspection of СМ-У connector on МНР-НС separator pump behind АСУ
,,panel 139
06:00-06:10,FE-2,"Morning Inspection, Laptop RS1(2) Reboot"
06:00-06:10,FE-4,"Morning Inspection, Laptop RSS1,2, Reboot"
06:00-06:05,FE-3,Saliva Sample Collection Reminder
06:00-06:05,FE-5,Reading REMINDER
06:05-06:20,FE-3,HRF - Sample Collection and Prep for Stowage
06:05-06:15,"CDR, FE-5",Morning Inspection
06:10-06:40,"FE-1, FE-2, FE-4",Post-sleep
06:15-06:45,"CDR,FE-5",Post-sleep
06:20-06:25,FE-3,HRF - MELFI Sample Insertion
06:25-06:35,FE-3,Morning Inspection
06:35-06:55,FE-3,Post-sleep
06:40-07:30,"FE-1, FE-2, FE-4",BREAKFAST
06:45-07:30,"CDR, FE-5",BREAKFAST
06:55-07:30,FE-3,BREAKFAST
07:30-07:45,,Work Prep
07:45-08:00,,Daily Planning Conference (S-band)
08:00-08:20,FE-4,Work Prep
08:00-08:05,FE-5,PETRI - Plants Light On
08:00-09:30,FE-3,ARED Exercise
08:00-10:00,FE-2,ABOUT GAGARIN FROM SPACE. Restoring KENWOOD settings.  Tagup with specialists
08:00-08:10,FE-1,SEISMOPROGNOZ. Data downlink from БСПН via RSS1 (start)
08:00-08:05,CDR,Work Prep
08:05-08:15,CDR,Blood Pressure (BP) - Procedure review
08:05-08:20,FE-5,Work Prep
08:10-10:10,FE-1,Locating TVS КЛ-108/109Ц
08:15-08:55,CDR,BP. Hardware setup
,,Dismantling ЛКТ (ЛКТ2Д3) No. 1417726325 and ROM No.
08:20-09:20,FE-4,"1417726934  from ТК 711 БО. (Stow at СМ1РО_3_314_1, bag 353-8"
,,(00037141R)
08:20-08:30,FE-5,Medical Kit Stow
08:30-09:30,FE-5,T2 Exercise
08:55-12:25,CDR,BP. Experiment Ops
09:20-10:00,FE-4,СОЖ Maintenance
09:30-10:55,FE-5,ARED Exercise
09:55-10:55,FE-3,T2 Exercise
10:00-11:30,FE-4,
,,LBNP Exercise (CLOSEOUT). Tagup with specialists
10:00-11:30,FE-2 assists,
10:10-10:40,FE-1,Auxiliary Laptop Anti-Virus Update
10:40-11:00,FE-1,Screw Clamp Tightening on MRM1 side /
10:55-13:00,"FE-3, FE-5",EMU - Fan Pump Separator (FPS) Remove and Repair
11:00-11:20,FE-1,IMS Update
11:30-12:30,FE-4,Crew Departure Prep
11:30-12:30,FE-2,"БД-2 Exercise, Day 4"
12:00-12:30,FE-1,SEISMOPROGNOZ. Data Downlink from БСПН via RSS1 (end)
12:25-13:00,CDR,BP. Hardware Stowage
12:30-13:30,"FE-1, FE-2, FE-4",LUNCH
13:00-14:00,"FE-3, FE-5",LUNCH
13:00-14:00,CDR,T2 Exercise
13:30-16:30,FE-4,ТК 711 Transfers for return
13:30-13:45,FE-2,BAKTERIOFAG. Dismantle and Transfer BIOECOLOGIA Case to ТК
13:30-13:45,FE-1,Private Medical Conference (S + Ku-band)
13:45-14:00,FE-1,STRUKTURA.  Photography
13:45-14:00,FE-2,STRUKTURA.  Deactivation of crystallization process
14:00-15:00,FE-1,Locating equipment to configure PCE setup and run PCE tests. Tagup with specialists (as necessary)
14:00-14:15,FE-2,Transfer of Luch-2M kit to ТК
14:00-17:25,FE-3,EMU - Fan Pump Separator (FPS) Remove and Repair
14:00-17:10,FE-5,EMU - Fan Pump Separator (FPS) Remove and Repair
14:00-15:00,CDR,LUNCH
14:15-14:35,FE-2,REGENERATSIYA-1. Container Transfer to ТК
14:35-14:45,FE-2,ARIL. Case Removal from Incubator (+4 deg C) and Transfer to ТК
14:45-16:05,FE-2,ARED Exercise
15:00-15:30,FE-1,Preparing SM panels 225 and 226 to install PCE. Tagup with specialists (as necessary)
15:00-15:15,CDR,Private Medical Conference
15:15-15:25,CDR,Medical Kit Stowage
15:25-16:25,CDR,Crew Departure Prep
15:30-15:45,FE-1,Test activation of Vozdukh Atmosphere Purification System Emergency Vacuum Valves [АВК СОА]
15:45-17:00,FE-1,"БД-2 Exercise, Day1"
16:05-16:20,FE-2,Private Medical Conference (S + Ku-band)
16:25-17:55,CDR,ARED Exercise
16:30-16:40,FE-4,ТК 711 Transfer Operations Completion Report /
16:40-16:55,FE-4,Private Medical Conference (S + Ku-band)
16:45-17:25,FE-2,MATRYOSHKA-R. Prep and Initialization of Bubble-Dosimeter Detectors
17:00-18:00,FE-1,"VELO Exercise, Day 1"
17:10-17:25,FE-5,EMU-FPS - Stowage
17:15-18:15,FE-4,"БД-2 Exercise, Day 1"
17:25-17:30,FE-2,MATRYOSHKA-R. Handover of BUBBLE-dosimeters to USOS
17:25-17:30,FE-5,Handover of RADIN dosimeters
17:25-17:30,FE-3,VEG - Daily Plant Check
17:30-18:15,FE-2,MATRYOSHKA-R. BUBBLE-Dosimeter Initialization and Deployment for Exposure
17:30-17:45,FE-5,RADIN - Deployment for Exposure
17:40-17:55,FE-3,Information entry in audio journal - subject
17:45-17:55,FE-5,HRF - Preparation for blood draw
17:55-18:15,CDR,Evening Work Prep
17:55-18:15,FE-5,HRF Blood Draw
17:55-18:10,FE-3,HRF - Blood collection assistance
18:00-18:15,FE-1,Exercise data downlink
18:15-18:40,,Daily Planning Conference (S-band)
18:40-18:55,"FE-1, FE-4",Signing ISS RS Handover Protocol
18:40-19:00,CDR,Evening Work Prep
18:40-19:10,"FE-2, FE-3",Evening Work Prep
18:40-19:05,FE-5,Evening Work Prep
18:55-19:10,"FE-1, FE-4",Evening Work Prep
19:00-19:10,CDR,Hardware setup for Change of Command Ceremony
19:05-19:10,FE-5,PETRI - Plants Light Off
19:10-19:30,,Change of Command Ceremony
19:30-21:30,"CDR, FE-2, FE-5",Pre-sleep
19:30-20:25,FE-3,Pre-sleep
19:30-20:10,"FE-1, FE-4",Pre-sleep
20:10-20:20,"FE-1, FE-4",Comm check and Ops from ТК 711 via RGS (VHF2)
20:20-21:30,"FE-1, FE-4",Pre-sleep
20:25-20:40,FE-3,On-Call Crew Quarters Configuration
20:40-21:25,FE-3,Pre-sleep
21:25-21:30,FE-3,Saliva Sample Collection Reminder
21:30-10:30,,SLEEP
,,Preparation of reports for Roscosmos site
,"FE-1, FE-2",
Task List,,ECON-M. Observations and Photography
,FE-2,URAGAN Observations and Photography
TIME,CREW,
06:00-06:10,CDR,Morning inspection
,,Morning inspection
06:00-06:10,FE-1,
,,"Laptop RSS1, RSS2 reboot"
,,Morning inspection
06:00-06:10,FE-2,Laptop RS1(2) reboot
,,SM Caution and Warning Panel (ПСС) test
06:10-06:40,.,Post sleep
06:40-07:30,.,BREAKFAST
07:30-07:45,"FE-1,FE-2",Work prep
07:30-07:55,CDR,Work prep
07:45-08:00,"FE-1,FE-2",DPC (S-band)
08:00-08:15,"FE-1,FE-2",Work prep
08:15-09:25,FE-1,Prep for condensate removal spare lines. Tagup
,,Tear down БРП-М #011013. Tear down БРП-М #0911001. Tagup (if
08:15-11:05,FE-2,
,,needed)
09:15-09:25,CDR,RST- removal from MELFI
09:25-09:45,CDR,RST – sample placement in MELFI
09:25-10:45,FE-1,VIRTUAL. Experiment ops. Tagup
09:45-10:45,CDR,T2 Exercise
10:45-12:15,CDR,ARED Exercise
10:55-11:05,FE-1,Equipment prep for PAO
11:05-11:15,"FE-1,FE-2",Crew prep for PAO
11:15-11:30,"FE-1,FE-2",TV-session with students of Korolev city (Ku+S-band)
11:30-12:30,FE-2,Tear down БРП-М #0911001. Tagup. (if needed.)
11:30-12:10,FE-1,СОЖ maintenance
