0,1,2,3
06:05-06:15,"FE-3, FE-6",Morning Inspection,
06:10-06:40,"CDR, FE-2, FE-4, FE-5",Post-sleep,
06:15-06:40,"FE-3, FE-6",Post-sleep,
06:40-07:30,,BREAKFAST,
07:30-07:40,,Work Prep,
07:40-08:05,,Daily Planning Conference (S-band),
08:05-08:20,,ISS crew and ГОГУ (RSA Flight Control Management Team) weekly conference (S-band),
,"CDR, FE-2,",,
08:20-08:30,"FE-4, FE-5,",Work Prep,
,FE-6,,
08:20-09:50,FE-3,ARED Exercise,
08:30-09:00,FE-2,Equipment Stowage for DC1 Demate and Departure,
08:30-08:40,FE-4,URAGAN. Photo Spectrum System Battery Charge (start),
08:30-08:45,FE-6,Crew Discretionary Event,
08:45-09:00,FE-6,ABRS - Crew reviews OBT materials,
09:30-10:00,CDR,БСПН Software Patch Installation,
09:00-09:15,FE-6,ABRS - Preparation,
09:15-09:45,"FE-5, FE-6",ABRS - Removal,
09:45-10:45,FE-5,CEVIS Exercise,
09:45-11:15,FE-4,"БД-2 Exercise, Day 2",
09:45-10:45,FE-6,ABRS - Rear Cooling Loop Flush,
09:50-10:05,FE-3,ARED Guide Rail Inspection,
,,"EVA-37 procedures, preliminary timeline review, Viewing DVD",
10:00-13:00,"CDR, FE-2","(СМ1РО_2_214_ниша, (00063120R)). Tagup with EVA specialists / r/g",
,,4285,
10:15-10:30,FE-3,USOS Window Shutter Close,
10:30-10:45,FE-3,BODYM - Equipment Setup,
10:45-13:20,FE-3,BODYM - Experiment Ops,
10:45-11:15,"FE-5, FE-6",ABRS - Hardware Setup,
11:15-13:10,FE-5,BODYM - Assistance with the Experiment,
11:15-12:45,FE-6,ARED Exercise,
11:30-12:20,FE-4,URAGAN. Observation and Photography using Photo Spectrum System (ФСС). Tagup with specialists (as necessary),
12:20-13:00,FE-4,СОЖ Maintenance,
12:45-13:35,FE-6,RVF - Experiment Protocol,
13:00-13:15,"CDR, FE-2, FE-4",IMS Tagup (S-band),
13:10-13:15,FE-5,SHD - Weekly Questionnaire,
13:15-14:15,"CDR, FE-2, FE-4, FE-5",LUNCH,
13:20-14:20,FE-3,LUNCH,
